Sujeto,Relación,Objeto
William Penn,number of imprisonments for faith,four times
William Penn,friendship with,the Duke of York
Pennsylvania,meaning of name,Penn's Woods
Pennsylvania,date of charter,spring of 1681
Pennsylvania,location,west of the Delaware River between New York and Maryland
Pennsylvania,number of ships arriving in 1681,23
Pennsylvania,number of passengers arriving in 1681,"2,000"
William Penn,number of additional settlers arriving in 1682,"2,000"
William Penn,position in Pennsylvania,governor
William Penn,duration of first stay in Pennsylvania,two years
William Penn,duration of second stay in Pennsylvania,two years in 1699-1701
William Penn,relationship with Lenni Lenape,honesty and fairness
Lenni Lenape,also known as,Delaware Indians
Philadelphia,role in Pennsylvania,capital
Delaware,counties near mouth of Delaware River,three Lower Counties
Georgia,date of charter,1732
James Oglethorpe,role in Georgia,leader of Trustees of Georgia
Trustees of Georgia,purpose,"found a refuge for debtors, petty criminals, and other poor persons"
Georgia,named in honor of,King George II
Georgia,location,south of the Savannah River
Georgia,original policy on slavery,banned slavery
Georgia,date of surrender to royal government,1752
Adam Smith,author of,The Wealth of Nations
The Wealth of Nations,publication date,1776
Navigation Acts,date range of adoption,between 1650 and 1698
Navigation Acts,adopted by,Parliament
Navigation Acts,annual revenue produced by 1670,"as much as £140,000 per year"
enumerated goods,examples,"sugar, tobacco, indigo"
Vice-admiralty courts,jurisdiction over,Navigation Acts violations
Vice-admiralty courts,characteristic of,did not use juries
Slavery,role in,imperial trade
Sugar,colonial producer,West Indies
Tobacco,colonial producer,Chesapeake colonies
Rice,colonial producer,South Carolina
Indigo,colonial producer,South Carolina
West Indies,society type,slave societies
Chesapeake colonies,society type,slave societies
South Carolina,society type,slave societies
Barbados,colonial producer of,"sugar, rum, and molasses"
Jamaica,colonial producer of,"sugar, rum, and molasses"
Leeward Islands,colonial producer of,"sugar, rum, and molasses"
Barbados,annual export value in 1700,"£768,600"
Jamaica,annual export value in 1700,"£768,600"
Leeward Islands,annual export value in 1700,"£768,600"
Chesapeake,annual export value in 1700,"£218,300"
British West Indian sugar products,annual value at time of American Revolution,£3.9 million
New England,proportion of exports to West Indies,over half
King Charles II,successor,James
King James II,accession year,1685
King Charles II,number of legitimate children,none
Edward Randolph,role of,Crown emissary
Edward Randolph,year sent to Massachusetts,1676
Edward Randolph,purpose in Massachusetts,investigate Massachusetts government after Metacom's War
Massachusetts,government under,charter of Massachusetts Bay Company
Massachusetts,charter revocation year,1684
King James II,religious affiliation,Catholic
King James II,spouse,Italian Catholic princess
King James II,son birth year,1688
William Penn,relationship with,King James II
Dominion of New England,creation year,1686
Dominion of New England,components,"Massachusetts, Plymouth, New Hampshire, Connecticut, Rhode Island"
Dominion of New England,later additions,New York and New Jersey
Sir Edmund Andros,position of,Governor-general of Dominion of New England
Whigs,political stance,opposed King James II policies
Tories,political stance,supported King James II
Mary,relationship to,King James II
Mary,spouse,Prince William of Orange
Prince William of Orange,title,leading Dutch nobleman
Prince William of Orange,year crossed English Channel,1688
King James II,fled to,France
William and Mary,proclaimed sovereigns year,1689
William and Mary,sovereignty type,joint sovereigns of England and Scotland
William,holder of,executive power
King Louis XIV,provided help to,King James II
English Bill of Rights,required acceptance by,William and Mary
English Bill of Rights,guaranteed,free and frequent elections to Parliament
English Bill of Rights,protected,freedom of speech in Parliament
English Bill of Rights,barred,cruel and unusual punishment
English Bill of Rights,protected right of,Protestants to bear arms
English Bill of Rights,established,supremacy of Parliament
John Locke,author of,Two Treatises of Government
John Locke,earlier composed,Fundamental Constitutions of Carolina
Two Treatises of Government,attacked,divine right of kings
Sir Edmund Andros,imprisoned in,Massachusetts
Major Jacob Leisler,role in,overthrow of Dominion in New York
King William,opinion on colonial disruptions,disapproved
Connecticut,government resumed,previous government
Rhode Island,government resumed,previous government
Plymouth,joined to,Massachusetts
Massachusetts,received,new royal charter
Maryland,proprietorship type,Catholic
Calverts,regained property year,1715
Calverts,joined,Church of England
Jacob Leisler,role of,militia commander
Jacob Leisler,execution year,1691
New York,became,royal colony
Schenectady,experienced,French and Indian raid
Queen Anne,relationship to,Mary
Queen Anne,successor to,William and Mary
George I,accession year,1714
George I,origin,Hanover
George I,title in Germany,principality of Hanover
Act of Union,passage year,1707
Act of Union,merged,England and Scotland
Act of Union,created,Great Britain
Act of Settlement,passage year,1701
Tuscarora Indians,attacked,North Carolina settlements
Tuscarora Indians,attack year,1711
North Carolina,sought aid from,South Carolina
Tuscaroras,defeated by,1713
Tuscaroras,became,sixth nation of Iroquois Confederacy
Yamasees,launched war year,1715
Yamasees,war against,South Carolina
Yamasee War,killed percentage of white population,7 percent
Columbus,originated,enslavement of Native Americans
King Ferdinand,banned,Indian enslavement
Queen Isabella,banned,Indian enslavement
Carolinians,enslaved Indians between 1670 and 1715,"30,000–50,000"
Westos,location,South Carolina
"Deerfield, Massachusetts",attacked in,Queen Anne's War
Deerfield attack,killed,over 40 inhabitants
Deerfield attack,captured,112
St. Augustine,besieged year,1704
St. Augustine,besieged by,Creeks and Carolinians
Louisburg,location,Cape Breton Island
Louisburg,captured in,King George's War
Louisburg,captured by,New England expedition
Nova Scotia,taken by,Britain in Queen Anne's War
Newfoundland,taken by,Britain in Queen Anne's War
Hudson Bay,taken by,Britain in Queen Anne's War
King William's War,years,1689–1697
King William's War,European name,War of the League of Augsburg
Queen Anne's War,years,1702–1713
Queen Anne's War,European name,War of Spanish Succession
King George's War,years,1740–1748
King George's War,European name,War of Austrian Succession
Seven Years' War,years,1756–1763
Sir Robert Walpole,position of,First Lord of the Treasury
Sir Robert Walpole,role as,king's principal minister
Sir Robert Walpole,controlled government years,1721 and 1742
George I,language limitation,could not speak English
House of Commons,institutional role,represented people of the realm
House of Lords,institutional role,provided stability and wisdom
Crown,institutional role,provided firmness and single-mindedness
House of Commons,part of,British government
House of Lords,part of,British government
Members of the House of Commons,social class of,landed gentlemen
Robert Walpole,promoter of,Britain's commerce
Bank of England,year of founding,1694
Bank of England,function of,facilitate government borrowing
Robert Walpole,strengthener of,Bank of England
British navy,purpose of,protect British shipping
British standing army,purpose of,deploy at will on land
John Trenchard,co-author of,Cato's Letters
Thomas Gordon,co-author of,Cato's Letters
Cato's Letters,publication period of,1720-1723
Cato's Letters,number of bound editions before 1755,at least six
John Trenchard,member of,Country Party
Thomas Gordon,member of,Country Party
Country Party,opposition to,Court Party
Robert Walpole,association with,Court Party
John Trenchard,member of,Real Whigs
Thomas Gordon,member of,Real Whigs
Cato's Letters,presence in American private libraries,over one-third
Arthur Dobbs,position of,Governor of North Carolina
Arthur Dobbs,year of report,1760
British slave ship Brookes,regulation under,Regulated Slave Trade Act of 1788
British slave ship Brookes,lower deck capacity,292 slaves
British slave ship Brookes,additional slaves capacity,130 slaves
Slaves on shelves of Brookes,height between beams,2 feet 7 inches
Broteer Furro,later name of,Venture
Broteer Furro,father's position,Prince of the tribe of Dukandarra
Broteer Furro,age at capture,six years old
Broteer Furro,year of capture,about 1735
Broteer Furro,origin place,West Africa
African slave trade,time period of,mid-fifteenth century to late nineteenth century
African slave trade,total victims,12 million
British North America,number of slave arrivals,as many as half a million
Venture Smith,place of arrival in America,Rhode Island
Venture Smith,wife's name,Marget
Venture Smith,number of children,three
Venture Smith,last surname,Smith
Venture Smith,property at death,three houses and 100 acres
Venture Smith,place of property,"Haddam Neck, Connecticut"
Venture Smith,year of death,1805
Solomon Smith,father of,Venture Smith
Solomon Smith,participant in,War for Independence
British American colonies,population in 1700,quarter million
British American colonies,population in 1775,about 2.5 million
British American colonies,number of newcomers before 1775,over half a million
England,percentage of migrants 1700-1775,less than 8 percent
Germany,percentage of migrants 1700-1775,14 percent
Ireland,percentage of migrants 1700-1775,18 percent
Scotland,percentage of migrants 1700-1775,6 percent
Wales,percentage of migrants 1700-1775,5 percent
European immigrants 1700-1775,total number,"roughly 300,000"
European immigrants 1700-1775,bound servants percentage,about 40 percent
British convicts,number among immigrants,"some 50,000"
German migrants to colonies,total number,"as many as 84,000"
Palatinate,location of,along the Rhine River
Palatinate,religious composition,mostly Protestant
Middle colonies,members,"New York, New Jersey, Pennsylvania, and Delaware"
Glorious Revolution,years of occurrence,1688-1689
Palatines,destination of,Philadelphia
Palatines,means of travel,Rhine River to Rotterdam
Benjamin Franklin,critic of,Palatine Boors (peasants)
Palatines,known as,Pennsylvania Dutch
Protestant settlers from northern Ireland,estimated number in mainland colonies,"66,000"
King James I,monarch of,England
King James I,seizer of lands in,Ulster (northern province of Ireland)
Scottish Presbyterians,place of migration from,Scotland to Ireland
Ulster Protestants,occupation,raising flax and making linen
Ulster Protestants,known as in America,Scots-Irish
British North America,population in 1660,"58,000 inhabitants"
New France,population in 1660,"6,000 residents"
New France,settlers' occupation,rented small farms from noble landowners
Louisiana,population before 1730,"Over 5,000 whites and 6,000 slaves"
Natchez Revolt,date of occurrence,1729
Natchez Revolt,casualties,10 percent of Louisiana population
Louisiana,population after Natchez Revolt,"no more than 2,000 whites and 4,000 Africans"
New Spain,population in 1650,1.5 million
New Spain,population in 1790,nearly 5 million
United States,population in 1790,roughly 4 million
Florida,Spanish presence locations,St. Augustine and Pensacola
Africans,year of arrival in Virginia,1619
Africans,estimated total boarded on slave ships in Africa,about 12 million
Africans,estimated total reached the Americas alive,only 10 million
Africans,estimated arrivals in British North America and United States,about half a million
Africans,arrivals before 1775,three-fifths of half a million
Royal African Company,number of captives shipped per year,"as many as 5,000"
Virginia,primary labor force by 1700,probably black
South Carolina,black majority by,1708
Virginia House of Burgesses,legislation distinguishing slaves and servants,statute of 1661
Virginia House of Burgesses,decree on children's status inheritance,1662
Virginia House of Burgesses,ruling on slave deaths from correction,1669
West Central Africa,location includes,"states of Gabon, Congo, and Angola"
Slave ships,capacity,between 250 and 600 people
Middle Passage,duration,two or three months
Southeast tribes trading deerskins,annual sales volume,"as many as 53,000 hides a year"
Chief Hiawatha,role in,brought together Five Nations in late fifteenth century
Iroquois Confederacy Five Nations,member tribes,"Mohawk, Oneida, Onondaga, Cayuga, and Seneca"
Tuscarora tribe,year joined Iroquois Confederacy,1722
Iroquois Confederacy,alliance with English,Covenant Chain
Iroquois Confederacy,year granted land to Virginia,1744
Blacks,percentage of New York population in 1770,12 percent
Blacks,percentage of New Jersey population in 1770,7 percent
Blacks,percentage of Rhode Island population in 1770,6 percent
Barbados,slave imports in 50-year period,"150,000 Africans"
Barbados,slave population increase in 50-year period,"28,000"
Virginia,slave imports in comparable period,"100,000 Africans"
Virginia,slave population increase,"from 10,000 to 100,000"
Stono River Rebellion,date of occurrence,1739
Stono River Rebellion,initial participants,about 20 Angolans
Stono River Rebellion,total participants recruited,between 60 and 100
Stono River Rebellion,white casualties,about 20 whites
Natchez Revolt,white casualties,200 whites lives
Robert 'King' Carter,landholdings at death,"300,000 acres"
Robert 'King' Carter,slave ownership at death,"over 1,000 slaves"
Robert 'King' Carter,cash at death,"£10,000"
Robert 'King' Carter,sons,Landon Carter and Robert Carter III
Virginia first families,includes,"Randolphs, Beverleys, and Lees"
South Carolina and Georgia leading families,includes,"Rutledges, Middletons, and Pinckneys"
William Byrd II,age entered House of Burgesses,22
William Byrd II,plantation estate name,Westover
William Byrd,author of,detailed and perceptive diary
William Byrd,location of visit,Williamsburg
William Byrd,owner of,slaves
William Byrd,author of,letter to an English friend
Planters in Virginia,dominant in,Virginia's county courts
House of Burgesses,part of,colonial government of Virginia
College of William and Mary,founding year,1693
College of William and Mary,purpose of,train planters' sons
South Carolina westerners,location of legal business,Charles Town
Anglicanism,status in,established religion of the southern colonies
Church of England,religious affiliation,Anglicanism
Great Wagon Road,origin point,"Lancaster, Pennsylvania"
Great Wagon Road,destination through,Shenandoah Valley of Virginia
Great Wagon Road,destination across,the Carolinas
Great Wagon Road,destination terminus,"Augusta, Georgia"
George Washington,critic of,Shenandoah settlers
Middle colonies,components,New York
Middle colonies,components,New Jersey
Middle colonies,components,Pennsylvania
Middle colonies,components,Delaware
Middle colonies,population in 1700,"about 50,000 people"
Middle colonies,population seven decades after 1700,more than half a million
Penn family,seller of,fertile land at low prices
Pennsylvania,land policy,sale of fertile land at low prices
Delaware,land policy,sale of fertile land at low prices
New York,land policy,renting land within large privileged manors
Thomas Jefferson,author of quote,We can buy an acre of new land cheaper than we can manure an old one
Philadelphia,population by 1760,"24,000 inhabitants"
Philadelphia,rank in colonial cities,largest city in the colonies
New York,rank in colonial cities,second
Boston,rank in colonial cities,third
Livingstons,family location,New York City
DeLanceys,family location,New York City
Livingstons,social class,urban gentry
DeLanceys,social class,urban gentry
Benjamin Franklin,birthplace,Boston
Benjamin Franklin,birth year,1706
Benjamin Franklin,occupation,printer
Benjamin Franklin,occupation,politician
Benjamin Franklin,location of fortune-seeking,Philadelphia
Benjamin Franklin,publisher of,Pennsylvania Gazette
Benjamin Franklin,publisher of,Poor Richard's Almanack
Pennsylvania Gazette,type of publication,one of the colony's first newspapers
Poor Richard's Almanack,type of publication,annual calendar of planting directions and astrological data
Benjamin Franklin,retirement age,42
Benjamin Franklin,owner of,as many as five slaves
New York City slaves,year of insurrection attempt,1712
New York City slaves,number involved in 1712 insurrection,two dozen
New York Slave Conspiracy,year of,1741
New England,population in 1700,"about 90,000"
New England,population by 1770,"almost 600,000"
Maine,political status,still part of Massachusetts
Cotton Mather,birthplace,Boston
Cotton Mather,birth year,1663
Cotton Mather,grandfather's occupation,Puritan ministers
Cotton Mather,father,Increase Mather
Increase Mather,position of,minister of Boston's Second Church
Increase Mather,position of,president of Harvard College
Increase Mather,role of,Massachusetts's colonial agent
Cotton Mather,age of Harvard entry,12
Cotton Mather,ordination year,1685
Cotton Mather,ordination location,his father's church
Cotton Mather,number of publications,"more than 400 books, pamphlets, and sermons"
Cotton Mather,advocate of,inoculation against smallpox
Cotton Mather,supporter of,Salem witchcraft trials
Cotton Mather,member of,Royal Society
Royal Society,type of organization,England's prestigious scientific association
Benjamin Franklin,member of,Royal Society
William Byrd II,member of,Royal Society
Cotton Mather,son of,Increase Mather
Cotton Mather,date of death,1728
Salem Village,current name,"Danvers, Massachusetts"
Salem Village witchcraft trouble,year of beginning,1691
Salem Village,location in,eastern Massachusetts
Salem Village witchcraft accusations,year of events,1692
Salem Village witchcraft executions,number of women hanged,14
Salem Village witchcraft executions,number of men hanged,5
Sir William Phips,position of,Governor of Massachusetts
Sir William Phips,appointed by,King William
King William's War,combatants,England and France
Salem Village,geographic relationship to,Salem Town
Salem Village,economic characteristic,agricultural hamlet
Increase Mather,occupation,minister
Cotton Mather,occupation,minister
John Locke,author of,Two Treatises of Government
John Locke,author of,An Essay Concerning Human Understanding
John Locke,author of,Thoughts on Education
John Locke,publication decade of educational works,1690s
John Locke,nationality,English
John Locke,occupation,philosopher
John Woolman,religious affiliation,Quaker
John Woolman,position on,critic of slavery and the slave trade
Maryland interracial marriage law,year enacted,1664
Virginia interracial marriage ban,year enacted,1691
Governor John Winthrop,vessel traveled on,Arbella
William Byrd II,occupation,planter
Benjamin Franklin,occupation,businessman
Cotton Mather,occupation,minister
Connecticut Courant,type of publication,newspaper
British imports to America,percentage increase between 1740 and 1770,360 percent
New England average landholdings in seventeenth century,size in acres,150
New England average landholdings in later eighteenth century,size in acres,40
Richest tenth of free Americans,percentage of society's wealth owned,half
Poorest tenth of free Americans,percentage of society's wealth owned,0.02 percent
America's poorer half including slaves,percentage of wealth owned,3 percent
Average age at first marriage for men in mid-eighteenth century,age range,26 or 27
Average age at first marriage for women in mid-eighteenth century,age,22
New England wives,average number of children born,seven or eight
New England wives,average number of children reared to adulthood,five or six
American population doubling rate,time period in years,25
René Descartes,occupation,French philosopher
René Descartes,author of,"declaration 'I think, therefore I am'"
René Descartes,year of philosophical declaration,1637
Sir Isaac Newton,occupation,English scientist
Sir Isaac Newton,author of,Principia Mathematica
Principia Mathematica,author,Sir Isaac Newton
John Locke,nationality,Englishman
Denis Diderot,nationality,French
Denis Diderot,occupation,scholar
Denis Diderot,co-creator of,Encyclopédie
Jean le Rond d'Alembert,nationality,French
Jean le Rond d'Alembert,occupation,scholar
Jean le Rond d'Alembert,co-creator of,Encyclopédie
Encyclopédie,volume count,30 volumes
Encyclopédie,creators,Denis Diderot and Jean le Rond d'Alembert
Voltaire,nationality,French
Voltaire,occupation,philosopher
Adam Smith,origin,Scotland
Adam Smith,occupation,pioneer economist
Benjamin Franklin,participant in,experiments with electricity
Benjamin Franklin,religious stance,deism
Thomas Jefferson,religious stance,deism
John Wesley,role in,Methodist movement leader
Charles Wesley,role in,Methodist movement leader
Great Awakening,time period,1730s through 1760s
Great Awakening,location,American colonies
Jonathan Edwards,occupation,Reverend
Jonathan Edwards,place of ministry,"Northampton, Massachusetts"
Jonathan Edwards,theological tradition,Puritan
William Tennent Sr.,occupation,preacher
William Tennent Sr.,religious affiliation,Presbyterian
William Tennent Jr.,father,William Tennent Sr.
William Tennent Jr.,occupation,preacher
Charles Tennent,father,William Tennent Sr.
Charles Tennent,occupation,preacher
John Tennent,father,William Tennent Sr.
John Tennent,occupation,preacher
Gilbert Tennent,father,William Tennent Sr.
Gilbert Tennent,occupation,preacher
Samuel Davies,location of ministry,Virginia
George Whitefield,occupation,Reverend
George Whitefield,religious affiliation,Anglican missionary with Methodist leanings
George Whitefield,years of colonial tours,1739 until his death
Isaac Backus,occupation,Baptist preacher
Patrick Henry,age in 1765,29 years old
Patrick Henry,occupation,attorney
Patrick Henry,origin,rural piedmont of Virginia
Patrick Henry,position in House of Burgesses,freshman member
Patrick Henry,famous slogan,"Give me liberty, or give me death!"
Patrick Henry,date of resolutions introduction,"May 30, 1765"
Patrick Henry,number of resolutions introduced,five resolutions
House of Burgesses,location,Virginia
Stamp Act,year of adoption,1765
Stamp Act,adopting body,British Parliament
Stamp Act,purpose,"pay for an army of 10,000 men"
Seven Years' War,years,1756–1763
Seven Years' War,colonial name,French and Indian War
Seven Years' War,victor,Britain
Seven Years' War,territories gained by Britain,Canada and Florida
Seven Years' War,territory gained by Spain,Louisiana
King George's War,years,1740–1748
King George's War,European name,War of Austrian Succession
Ohio Company,year of land grant,1749
Ohio Company,land grant size,"200,000 acres"
Ohio Company,composition,group of Virginia land speculators
Ohio Company,required settlement,100 families
Ohio Company,location of fort,Forks of the Ohio
Forks of the Ohio,modern location,"Pittsburgh, Pennsylvania"
Forks of the Ohio,rivers,Monongahela and Allegheny Rivers
William Wirt,occupation,patriotic biographer
William Wirt,year of biography publication,1810
New York City,number of houses of worship in 1771,18
New York City,population in 1771,"25,000 inhabitants"
Benjamin Franklin,delegate from,Pennsylvania
Benjamin Franklin,proposer of,Albany Plan of Union
Albany Plan of Union,proposed at,Albany Congress of 1754
Albany Congress of 1754,location of,"Albany, New York"
Hendrick,position of,Mohawk chief
George Washington,age at time of expedition,21 years old
George Washington,half-brother of,Lawrence Washington
George Washington,half-brother of,Augustine Washington
Lawrence Washington,shareholder in,Ohio Company
Augustine Washington,shareholder in,Ohio Company
George Washington,birth year,1732
George Washington,height,Six feet three inches
George Washington,occupation,land surveyor
Tanaghrisson,position of,Iroquois half king
Fort Necessity,type of structure,stockade
Edward Braddock,military rank,General
Edward Braddock,year of arrival in Chesapeake,1755
Edward Braddock,number of troops commanded,"2,000 Irish regulars"
Fort William Henry,location of,Lake George in northern New York
Fort William Henry,siege date,summer of 1757
Fort William Henry massacre,location of,Fort William Henry
William Pitt,position of,British minister
James Wolfe,military rank,General
James Wolfe,outcome at Quebec,died
Marquis de Montcalm,outcome at Quebec,died
Montreal,year of fall to Britain,1760
Peace of Paris,year of treaty,1763
Seven Years' War,outcome for Britain,acquired entire colony of New France
Seven Years' War,outcome for Britain,acquired eastern half of Louisiana
Spain,acquisition from France,western half of Louisiana
Spain,territory transferred to Britain,Florida
Jeffery Amherst,position of,commander in chief of Britain's American forces
Neolin,identity,Delaware prophet
Neolin,began preaching in,1761
Pontiac,position of,war chief
Pontiac,action in spring 1763,organized siege of Fort Detroit
Pontiac's War,year of siege lifting,1764
Pontiac's War,number of colonial lives lost,"2,000"
Thomas Gage,position of,successor to Amherst
George III,year of throne inheritance,1760
George III,age at throne inheritance,22
George Grenville,position of,Chancellor of the Exchequer
George Grenville,position of,First Lord of the Treasury
Proclamation Line of 1763,purpose of,forbidding settlement beyond the crest of the Appalachian Mountains
Quartering Act,year of passage,1765
Currency Act,year of passage,1764
Molasses Act,year of passage,1733
Molasses Act,tax rate,sixpence a gallon on molasses imported from outside the empire
Sugar Act,year of passage,1764
Sugar Act,molasses duty rate,threepence a gallon
Sugar Act,annual revenue raised,"£20,000"
Stamp Act,date of passage by Parliament,"March 22, 1765"
Stamp Act,effective date,"November 1, 1765"
Patrick Henry,member of,House of Burgesses
"Leicester, Massachusetts",statement year regarding Stamp Act,1763-1765 period
Stamp Act Congress,convening date,October 1765
Stamp Act Congress,location of,New York
Stamp Act Congress,number of colonial delegates,nine colonies
Stamp Act Congress,document issued,Declaration of Rights and Grievances
Thomas Whately,position of,Treasury spokesman
Daniel Dulaney,occupation,Maryland lawyer
Sons of Liberty,composition,artisans and shopkeepers
Pope's Day,commemorates,anniversary of a foiled plot to impose Catholicism
Boston impressment riot,year of occurrence,1747
British national debt,amount after Seven Years' War,"just under £130,000,000"
British army for new territories,size,"10,000 men"
British army for new territories,annual cost,"£400,000"
British American empire after Treaty of Paris,number of colonies,26 colonies
American colonies that joined Revolution,number of,13
