Sujeto,Relación,Objeto,origen
Adolfo Decker,tripulante de,flota holandesa,chile4_8773
Adolfo Valderrama,autor de,Bosquejo histórico de la poesía chilena,chile1_5388
Adriazola,enviado por,Antonio de Quintanilla,chile4_404
Adriazola,ocupación de,Comerciante chilote,chile4_402
Adriazola,destino de misión,Río de Janeiro,chile4_405
Adriazola,pasajero de,Goleta Grecian,chile4_403
Adrián Mandiola,ocupación,comerciante y minero,chile4_4998
Adrián Mandiola,cargo de,gobernador de Copiapó,chile4_4997
Adán,año de creación según Sandoval,3960 antes de J.C.,chile1_689
Agentes diplomáticos chilenos propuestos,sueldo anual,cuatro mil pesos,chile4_1534
Agricultura colonial chilena,característica de,vida lánguida,chile4_13223
Agricultura colonial chilena,causa de postración,escasez de brazos para cultivar,chile4_13224
Agricultura colonial chilena,causa de postración,falta de mercados para expender los frutos,chile4_13225
Agustin Argüelles,característica,famoso,chile4_4020
Agustinillo,identidad de,indio yanacona,chile1_3516
Agustinillo,rol de,sirviente personal de Valdivia,chile1_3515
Agustinillo,rol de,yanacona intérprete de Pedro de Valdivia,chile1_3558
Agustín Briseño,cargo de,Alcalde,chile1_8038
Agustín Caballero,profesor de matemáticas en,Academia de San Luis,chile4_17239
Agustín Caballero,lugar de traslado,Panamá,chile4_17424
Agustín Caballero,autor de,plano completo del canal de Maipo,chile4_17338
Agustín Caballero,autor de,"presupuesto del canal de Maipo por 90,737 pesos",chile4_17339
Agustín Caballero,profesión,Ingeniero,chile4_17421
Agustín Caballero,autor de,Planos del canal de Maipo,chile4_17422
Agustín Caballero,comisión en La Serena,Reparar obras de defensa y abrir foso,chile4_17129
Agustín Caballero,cargo de trabajo,Oficial de ingenieros,chile4_17128
Agustín Caballero,cargo de,ingeniero encargado del levantamiento de planos del canal de Maipo,chile4_17337
Agustín Caballero,rol en,Dirección de construcción de edificios públicos tras muerte de Toesca,chile4_17534
Agustín Caballero,ocupación,Ingeniero español,chile4_17532
Agustín Cisneros,relación familiar con,esposa de Francisco de Villagrán,chile1_5516
Agustín Cisneros,cargo de,Obispo sepultado en La Imperial,chile4_10099
Agustín Cisneros,profesión,eclesiástico,chile1_5515
Agustín Durán,cargo de,director de la biblioteca nacional de Madrid,chile4_7407
Agustín Eizaguirre,cargo de,senador por Santiago,chile4_4363
Agustín Eyzaguirre,cargo de,Presidente del Senado Conservador de Chile,chile4_3879
Agustín Eyzaguirre,cargo de,Miembro de la Junta Gubernativa de Santiago,chile4_3882
Agustín Eyzaguirre,cargo de,Senador de Chile,chile4_3885
Agustín Gamarra,segundo de La Mar en,campaña contra Colombia,chile4_5900
Agustín Gamarra,fecha de renuncia al mando supremo,27 de setiembre de 1832,chile4_6023
Agustín Gamarra,cargo de,general y presidente del Perú,chile4_6022
Agustín Gamarra,fecha de reasunción del mando supremo,31 de octubre de 1832,chile4_6029
Agustín Gamarra,cargo de,mariscal,chile4_5899
Agustín Gamarra,cargo de,segundo jefe de la expedición al Alto Perú,chile4_2192
Agustín Gamarra,fecha de discurso ante congreso peruano,29 de julio de 1832,chile4_5977
Agustín Gamarra,fecha de asunción de mando supremo,31 de agosto de 1829,chile4_5911
Agustín Gamarra,cargo de mando supremo de,República del Perú,chile4_5912
Agustín Gamarra,cargo de,Presidente del Perú,chile4_5952
Agustín Gamarra,fecha de arribo al Callao,junio de 1831,chile4_5976
Agustín Gamarra,cargo de,gran mariscal del Perú,chile4_5918
Agustín Gamarra,ascenso a,general,chile4_2193
Agustín Gamarra,año de llegada al poder supremo,1829,chile4_5919
Agustín Gutiérrez Moreno,cargo de,Ajente confidente de Irisarri,chile4_1482
Agustín Gutiérrez Moreno,fecha de llegada a Chile,Fines de 1820,chile4_1483
Agustín Gutiérrez Moreno,lugar de origen,Bogotá,chile4_1481
Agustín Gutiérrez Moreno,relación con,Antonio José de Irisarri,chile4_4400
Agustín Gutiérrez Moreno,origen de,Nueva Granada,chile4_4380
Agustín Gutiérrez Moreno,beneficiario de,pensión pagada por el gobierno de Chile,chile4_4401
Agustín Gutiérrez Moreno,cargo de,Consignatario de la carga de corbeta Voltaire,chile4_1480
Agustín Marcos Caballero,profesión,ingeniero,chile4_17209
Agustín Marcos Caballero,cargo de,director de clases de matemáticas en Academia de San Luis,chile4_17208
Agustín Molina,lugar de nacimiento,Chile,chile4_19614
Agustín Molina,ocupación,hacendado en partido del Maule,chile4_19615
Agustín Molina,relación familiar con Juan Ignacio Molina,padre,chile4_19613
Agustín Molina hijo,relación familiar con José Antonio Molina,hijo,chile4_19620
Agustín Molina hijo,cónyuge,Manuela Vergara,chile4_19621
Agustín Talavera,nacionalidad,Chileno,chile4_6040
Agustín Talavera,ocupación,Comerciante,chile4_6041
Agustín Vial,miembro de,Comisión para revisar asuntos del empréstito,chile4_1477
Agustín Vial,cargo de,diputado,chile4_1566
Agustín Vial,cargo de trabajo,ministro de la secretaría de guerra,chile4_2070
Agustín Vial,firmante de informe de,comisión de constitución del 10 de septiembre de 1823,chile4_1322
Agustín Vial,cargo de trabajo,Ministro de hacienda y guerra,chile4_11
Agustín Vial,cargo de,secretario redactor del congreso,chile4_1429
Agustín Vial,autor de,oficio del 6 de julio,chile4_1430
Agustín Vial,miembro de,Inspección fiscal de Chile,chile4_3046
Agustín Vial,firmante de,Proyecto de reforma de la constitución política de Chile del 25 de agosto de 1832,chile4_6938
Agustín Vial Santelices,miembro de,Comisión de siete individuos encargada de elaborar el proyecto de reforma de la constitución,chile4_6825
Agustín Vial Santelices,número de votos recibidos,21,chile4_6818
Agustín Vial Santelices,presentador del proyecto de ley sobre,estanco de tabaco,chile4_3035
Agustín Vial Santelices,cargo de,Inspector Fiscal,chile4_3000
Agustín Villaza,cargo de,Padre jesuita,chile4_10700
Agustín Zambrano,lugar de residencia,Bolonia,chile4_19745
Agustín Zambrano,lugar de nacimiento,Santiago,chile4_19743
Agustín Zambrano,edad registrada,82 años,chile4_19744
Agustín de Ahumada,cargo de trabajo,Capitán,chile1_6360
Agustín de Ahumada,hermano de,santa Teresa de Jesús,chile1_6005
Agustín de Ahumada,relación familiar con,Santa Teresa,chile1_6361
Agustín de Ahumada,cargo de,capitán,chile1_6002
Agustín de Ahumada,nombre alternativo,Agustín de Cepeda y Ahumada,chile1_6004
Agustín de Ahumada,lugar de mando,Cañete,chile1_6003
Agustín de Arévalo Briseño,cargo de,alcalde de Santiago en 1633,chile4_14501
Agustín de Arévalo Briseño,cargo de,corregidor en 1637,chile4_14502
Agustín de Eyzaguirre,cargo de,miembro de la junta gubernativa,chile4_3079
Agustín de Herraverfara,ruta de comercio entre,Chile y el Perú,chile4_12237
Agustín de Herraverfara,cargo de,capitán de buque mercante,chile4_12236
Agustín de Jáuregui,cargo de,Presidente de Chile,chile4_16656
Agustín de Jáuregui,año del primer censo,1778,chile4_17999
Agustín de Jáuregui,cargo,presidente de Chile,chile4_17998
Agustín de Miranda,compañero de fuga de,Juan de Salazar,chile4_10991
Agustín de Zárate,autor de,Historia del descubrimiento del Perú,chile1_2292
Agustín de Zárate,autor de,Historia del descubrimiento y conquista del Perú,chile1_133
Agüeros,tipo de autor,cronista,chile4_19246
Aillacuriche,rol de,cacique,chile4_12320
Aillacuriche,tipo de muerte,horca,chile4_12321
Aillacuriche,fecha de ejecución,diciembre de 1673,chile4_12338
Aillacuriche,territorio de operaciones,Purén,chile4_12345
Aillareguas,tipo de entidad,parcialidades repartidas por provincias,chile1_801
Aillareguas vecinas hasta Tirúa,situación de paz,medio de paz mediante fuerte de Paicaví,chile4_7810
Aillavilu,cargo de,cacique,chile1_10799
Ainabilu,tipo de lugar,valle,chile4_8155
Ainavilu,rol de,caudillo de Purén,chile4_7774
Ainavilu,rol de,cacique,chile1_11082
Ainavilu,rol de,cacique dirigente de indios,chile4_7891
Ajentes fiscales de Real Audiencia (dos),sueldo conjunto,800 pesos,chile4_18142
Al Público,autor,R. V. V. Z. (don Rafael Valentín Valdivieso i Zañartu),chile4_6700
Alais,biografía publicada en,La guerra Narvaez,chile4_3205
Alameda de Santiago,nombre posterior,paseo de la Constitución,chile4_1810
Alameda del Tajamar,tipo de espacio,Paseo público de Santiago,chile4_17465
Alamán,autor de,Historia de Méjico,chile4_5664
Alarife,función de,director de obras públicas y trazado de canales,chile1_2819
Albert Réville,autor de,Histoire des religions des peuples civilisés,chile1_909
Alberto Bacler d'Albe,destino tras abandono del servicio,regreso a Francia,chile4_1022
Alberto Bacler d'Albe,encargado de,formación de carta general de la República,chile4_1016
Alberto Bacler d'Albe,cargo de,ingeniero,chile4_474
Alberto Bacler d'Albe,abandono del servicio de Chile,1826,chile4_1021
Alberto Bacler d'Albe,padre de,mariscal de campo del ejército de Napoleón,chile4_1019
Alberto Bacler d'Albe,cargo de,coronel de ingenieros militares,chile4_1014
Alberto Bacler d'Albe,rol de,ayudante de José Manuel Borgoño,chile4_475
Alberto Bacler d'Albe,servicio en,ejército patriota,chile4_1020
Alberto Edwards Vives,labor,historiográfica heterogénea,chile1_2918
Alberto Hermann,profesión,ingeniero de minas,chile4_5283
Alberto Hermann,autor de,"La producción de oro, plata i cobre en Chile desde los primeros días de la conquista hasta agosto de 1894",chile4_5284
Alcabalas,monto de producción,"140,000 pesos anuales",chile4_1454
Alcalde de Castro don Antonio Pérez,rol de,plenipotenciario de Quintanilla,chile4_597
Alcalá de Henares,ubicación de,nuevo archivo en antiguo palacio episcopal,chile4_7343
Alcance al número 165 del Araucano,autor,don R. V. Valdivieso,chile4_6701
Alcedo y Herrera,autor de,Aviso histórico,chile4_15553
Alcides D'Orbigny,clasificación de antiguos habitantes de Chile en,una sola rama de raza de las altiplanicies del Perú,chile1_302
Alcides D'Orbigny,ocupación de,naturalista,chile1_301
Alderete,comandante de expedición a,otro lado del Biobío con sesenta hombres,chile1_3205
Alderete,sueldo anual de,dos mil pesos,chile1_5076
Alderete,recepción de,instrucciones para aumentar el producto de las minas,chile1_6998
Alegato chileno ante árbitro británico,autor de estudio introductorio,Diego Barros Arana,chile1_1659
Alegato chileno ante árbitro británico,principio defendido por Barros Arana,divortium aquarum (divisoria de aguas),chile1_1660
Alejandro Dalrymple,ocupación de,geógrafo inglés,chile1_11228
Alejandro Dalrymple,publicador de,Memorial del doctor Juan Luis Arias,chile1_11229
Alejandro Everett,fecha de nota al duque del Infantado,2 de julio de 1826,chile4_4396
Alejandro Everett,cargo de,representante de los Estados Unidos en Madrid,chile4_4374
Alejandro Everett,emisor de despacho a,Henry Clay,chile4_4384
Alejandro Everett,fecha de primera conferencia con Zea Bermúdez,septiembre de 1825,chile4_4394
Alejandro Everett,fecha de despacho desde Madrid,25 de setiembre de 1825,chile4_4395
Alejandro Farnesio,rol militar de,general en Flandes,chile1_8150
Alejandro Farnesio,comandante de,ejército español en Francia en 1590,chile1_9619
Alejandro Farnesio,relación con Alonso de Ribera,general instructor de Ribera,chile1_9758
Alejandro Farnesio,cargo de,duque de Parma,chile1_9618
Alejandro Garzón de Garricochea,designado por,Ustáriz,chile4_15427
Alejandro Garzón de Garricochea,cargo de,capitán del fuerte de Calbuco,chile4_15426
Alejandro Garzón de Garricochea,inicio de funciones en,primeros días de 1712,chile4_15429
Alejandro I,cargo de,emperador de Rusia,chile4_4330
Alejandro Malaspina,tipo de expedición,expedición de corbetas españolas,chile4_17493
Alejandro Olivier Oexmelin,también nombrado como,Esquemelin,chile4_11886
Alejandro Olivier Oexmelin,autor de,relación de la expedición de filibusteros a Panamá en 1671,chile4_11885
Alejandro Olivier Oexmelin,origen,francés o flamenco,chile4_11887
Alejandro Selkirk,abandonado por,capitán Stradling,chile4_15111
Alejandro Selkirk,tiempo de abandono en Juan Fernández,cuatro años y cuatro meses,chile4_15112
Alejandro Selkirk,fecha de abandono en Juan Fernández,octubre de 1704,chile4_15113
Alejandro Selkirk,evento,vida y aventuras en Juan Fernández,chile4_15649
Alejandro Selkirk,edad al rescate,treinta años,chile4_15114
Alejandro Selkirk,relación con,corsarios ingleses en el Pacífico,chile4_15650
Alejandro Selkirk,cargo anterior,contramaestre,chile4_15110
Alejandro Selkirk,lugar de nacimiento,"Largo, provincia de Fife, Escocia",chile4_15109
Alejandro Selkirk,nuevo cargo con Rogers,contramaestre,chile4_15115
Alejandro VI,autoridad que impuso,pena de excomunión por comercio no autorizado en las Indias,chile1_4994
Alejandro VI,autor de,bula de donación sobre las Indias,chile1_4993
Alejandro de Humboldt,obra citada,Voyage équinoxiales 1799-1804,chile4_18016
Alejo,cargo solicitado no concedido,oficial del ejército español,chile4_11595
Alejo,origen étnico,mestizo,chile4_11594
Alejo,rol entre indígenas,caudillo militar,chile4_11597
Alejo,actividad militar,operaciones militares contra los españoles,chile4_15589
Alejo,característica étnica,mestizo,chile4_15588
Alejo,acción realizada,deserción al bando indígena,chile4_11596
Alejo (mestizo),rol de,instigador de la resistencia de los indios,chile4_12637
Alejo (mestizo),causa de muerte,asesinato por dos de sus mujeres,chile4_12652
Alejo (mestizo),líder de,trescientos indios,chile4_12646
Alerce (Fitzroya cupressoides),uso en,explotación en grandes piezas y tablas,chile4_16705
Alerce (Fitzroya cupressoides),uso de corteza para,estopa para calafatear embarcaciones menores,chile4_16706
Alexander Humboldt,autor de,Cosmos,chile1_5250
Alexander von Humboldt,autor de,Histoire de la géographie du nouveau continent,chile1_4731
Alexander von Humboldt,primer notificador de,proceso de Malaspina,chile4_16500
Alexander von Humboldt,autor de,Essai politique sur le royaume de la Nouvelle Espagne,chile4_16499
Alexandre Nicolas,traductor de,L'Araucana al francés,chile1_5271
Alfonso de Villanueva Soberal,cargo de,Sargento mayor de Angol,chile4_9909
Alfred Russell Wallace,autor de artículo en,Anthropological Review,chile1_247
Alfé rez don Lázaro de Rivera,enviado por,virrey del Perú don Manuel de Guirior,chile4_16730
Alfé rez don Lázaro de Rivera,propósito de envío,atender a la defensa del archipiélago,chile4_16731
Alfé rez don Lázaro de Rivera,creador de,libro de mapas de las costas de Chiloé,chile4_16732
Alfé rez don Lázaro de Rivera,cargo en 1800,coronel y gobernador intendente de la provincia del Paraguay,chile4_16733
Alfé rez don Lázaro de Rivera,año de envío a Chiloé,1778,chile4_16729
Alfé rez don Lázaro de Rivera,autor de,Discurso sobre la provincia de Chiloé,chile4_16726
Alfé rez don Lázaro de Rivera,profesión,ingeniero delineador,chile4_16725
Alféreces de infantería,sueldo mensual de,veinte ducados,chile1_10288
Alférez Pedro Lavanderos,comandante de,partida de cerca de cuarenta hombres de caballería,chile4_5098
Alférez de compañía de infantería,sueldo,198 pesos,chile1_10961
Alférez de navío Felipe Bauzá,nacionalidad,italiano,chile4_16367
Alférez general don Pedro de Portugal,portador de,estandarte real,chile1_4243
Algarrobo (prosopis dulcis),abundancia geográfica,toda la región del valle de Santa María,chile1_1585
Alguacil mayor de Real Audiencia,sueldo,4860 pesos,chile4_18141
Algunas hazañas de las muchas de don García Hurtado de Mendoza,tipo de obra,comedia,chile1_5415
Algunas hazañas de las muchas de don García Hurtado de Mendoza,número de autores,nueve escritores,chile1_5416
"Algunos repartimientos de Quillota, la Ligua y Coquimbo",cantidad de indios de servicio,hasta 90 o 100,chile4_17489
Alherde,ocupación de,soldado,chile4_2916
Aliampo,nombre español dado,Valparaíso,chile1_1716
Alianza entre España e Inglaterra,fecha de celebración,25 de mayo de 1793,chile4_15796
Allen Gardiner,tipo de embarcación,yate de los misioneros ingleses,chile1_341
Allgemeine ethnographie,año de publicación,1873,chile1_205
Allgemeine ethnographie,lugar de publicación,Viena,chile1_204
Almacenes del rey y particulares,cantidad de armas halladas,"129 arcabuces, 3 mosquetes y escopetas, 59 pistolas y 173 lanzas",chile4_12026
Almacén de la pólvora,ubicación antigua,barrio de la Chimba enfrente del convento de la recolección dominicana,chile4_17191
Almagro,lugar de recepción del mensajero,Pueblo de indios Ramada,chile1_1698
Almagro,destino de marcha,Valle de Aconcagua,chile1_1696
Almagro,lugar de arribo,Puerto de Los Vilos o caleta vecina,chile1_1695
Almagro,pérdida de cristianos en travesía de desiertos,ninguno,chile1_1787
Almagro,estrategia de marcha,grupos de seis o ocho individuos,chile1_1775
Almagro,acto de generosidad,condonación de deudas a soldados,chile1_1778
Almagro,título real concedido,gobernación de la Nueva Toledo,chile1_1737
Almagro,monto de condonación de deudas,ciento cincuenta mil pesos de oro,chile1_1779
Almagro,fecha de llegada a Atacama,mediados de octubre,chile1_1781
Almagro,rol histórico,primer explorador del territorio chileno,chile1_1802
Almagro,método de ejecución,garrote en calabozo y decapitación en plaza pública,chile1_1801
Almagro,hijo,Diego de Almagro,chile1_1736
Almagro,cargo militar,capitán,chile1_1735
Almagro,fecha de ejecución,8 de julio de 1538,chile1_1799
Almagro,título real recibido,gobernador de la Nueva Toledo,chile1_1759
Almagro,pérdida de caballos en travesía de desiertos,treinta caballos,chile1_1786
Almagro,tipo de tropas bajo mando,cuerpo de excelentes tropas,chile1_1793
Almagro,actuación en sitio del Cuzco,levantamiento del sitio,chile1_1795
Almagro,prisioneros capturados,Hernando Pizarro y Gonzalo Pizarro,chile1_1796
Almagro y compañeros,fecha de llegada a Arequipa,principios de 1537,chile1_1785
Almendral,ubicación de,campamento del ejército de Ramón Freire,chile4_2082
Almirante Blake,nacionalidad,Inglaterra,chile4_10386
Almirante Burney,autor de,Chronological history,chile4_8515
Almirante Duguay-Frains,acción militar en,Rio de Janeiro,chile4_15139
Almirante Duguay-Frains,fecha de captura de Rio de Janeiro,septiembre de 1711,chile4_15140
Almirante Guise,fecha de ataque a los castillos del Callao,19 de febrero de 1824,chile4_3218
Almirante Guise,orden recibida de Bolívar,Echar a pique o incendiar buques en la bahía del Callao,chile4_3211
Almirante Guise,nave comandada,fragata Protector,chile4_2454
Almirante Guise,cargo militar de,Almirante,chile4_2453
Almirante Martín Jorge Guise,llegada a Arica,con dos buques de escuadra peruana,chile4_2418
