Sujeto,Relación,Objeto
El Mostazal,ubicación a,diez quilómetros al norte de Rancagua
Benjamin Constant,autor de,Cours de politique constitutionnelle
Cours de politique constitutionnelle,año de traducción al castellano,1821
Cours de politique constitutionnelle,lugar de impresión de traducción,Burdeos
Bernardo O'Higgins,cargo de,ex-director supremo de Chile
Hipólito Villegas,cargo de,fiscal del tribunal de residencia
Hipólito Villegas,cargo de,ministro de hacienda bajo O'Higgins
Bernardo Vera,cargo de,vocal del tribunal de residencia
Bernardo Vera,lugar de destierro,Mendoza
Bernardo Vera,año de destierro,1820
Diego Portales,cargo de,juez del tribunal de residencia
Lorenzo Fuenzalida,cargo de,juez del tribunal de residencia
Manuel Aniceto Padilla,lugar de origen,Alto Perú
Benjamin Viel,cargo militar,teniente coronel
Benjamin Viel,mes de incidente con Vera,febrero de 1820
El Tizón,tipo de publicación,periódico
Manuel Aniceto Padilla,colaborador de,El Tizón
Bernardino Rivadavia,autor de,informe oficial sobre Padilla
Manuel Aniceto Padilla,lugar de nacimiento,Cochabamba
Manuel Aniceto Padilla,año de nacimiento aproximado,1780
Manuel Aniceto Padilla,lugar de estudios,Charcas
The Southern Star,lugar de publicación,Montevideo
The Southern Star,fecha de primera publicación,23 de mayo de 1807
Antonio Zinni,autor de,Historia de la prensa periódica de la República Oriental del Uruguay
Historia de la prensa periódica de la República Oriental del Uruguay,lugar de publicación,Buenos Aires
Historia de la prensa periódica de la República Oriental del Uruguay,año de publicación,1883
Carlota Joaquina,título nobiliario,princesa
Lord Strangford,cargo diplomático,embajador inglés en Río de Janeiro
José Presas,cargo de,secretario de Carlota Joaquina
José Presas,autor de,Memorias secretas sobre la princesa del Brasil doña Carlota Joaquina
Memorias secretas sobre la princesa del Brasil doña Carlota Joaquina,lugar de publicación,Burdeos
Memorias secretas sobre la princesa del Brasil doña Carlota Joaquina,año de publicación,1830
Junta revolucionaria de Buenos Aires,fecha de establecimiento,25 de mayo de 1810
Manuel Aniceto Padilla,fecha de llegada a Buenos Aires,septiembre de 1810
Dumouriez,cargo militar,general francés
Cornelio Saavedra,cargo de,presidente de la junta revolucionaria de Buenos Aires
Dumouriez,autor de,Mémoires et correspondance inédits du général Dumouriez
Mémoires et correspondance inédits du général Dumouriez,lugar de publicación,París
Mémoires et correspondance inédits du général Dumouriez,año de publicación,1855
Manuel Aniceto Padilla,fecha de retorno a Buenos Aires,fines de 1815
José Miguel Carrera,cargo de,en el poder en Chile en 1816
Manuel Rodríguez,relación con,Manuel Aniceto Padilla
Manuel Aniceto Padilla,lugar de confinamiento,Aconcagua
Manuel Aniceto Padilla,año de confinamiento en Aconcagua,mediados de 1816
Manuel Aniceto Padilla,fecha de decreto de agradecimiento,diciembre de 1816
Jorge Miguel Infante,lugar de residencia en época de reconquista,alrededores de Córdoba
Toribio Luzuriaga,cargo de,gobernador de la provincia de Cuyo
José Moldes,cargo militar,coronel
Manuel Aniceto Padilla,fecha de apresamiento,febrero de 1817
Manuel Aniceto Padilla,fecha de liberación,fines de marzo de 1818
El Duende de Montevideo,fecha de publicación de carta,20 de noviembre de 1823
El Tizón republicano,fecha de publicación de carta,27 de mayo de 1823
Gregorio Tagle,cargo de,ministro del gobierno de Buenos Aires
Hilarión de la Quintana,cargo militar,coronel mayor del ejército argentino
Hilarión de la Quintana,destino de comisión,Perú
José Zenteno,entrega del mando a,cabildo de Valparaíso
José Zenteno,entrega de la comandancia jeneral de armas a,teniente coronel don Anjel Argüelles
José Zenteno,entrega de la comandancia de marina a,capitán de navío don Cárlos Wooster
José Zenteno,fecha de comunicación al supremo director,octubre
José Zenteno,órgano de comunicación,ministro del interior
nota de Zenteno,fecha de escritura,21 de octubre
nota de Zenteno,lugar de escritura,fragata Brilon
José Zenteno,asilo en,buque inglés
Ramón Freire,relación con cartas de,José Zenteno
José Zenteno,gobierno de,Valparaíso
ministro Campino,dirigida al cónsul general de,S. M. B.
ministro Campino,fecha de gestión diplomática,29 de octubre
cónsul Nugent,fecha de respuesta,día siguiente al 29 de octubre
comandante de la Brilon,identidad,Sir Murray Maxwell
ministro de hacienda,autor de derogación por,reglamento de carga y descarga de buques
cabildo de Valparaíso,autor de representación sobre,reglamento de carga y descarga de buques
cabildo de Valparaíso,fecha de representación,2 de octubre
decreto del ministerio de hacienda,firmante,don Manuel José Gandarillas
decreto del ministerio de hacienda,fecha de firma,1 de ese mes
senado consulto de 1819,fecha,27 de noviembre de 1819
decreto sobre senado consulto,fecha de expedición,26 de octubre de 1825
revolución de Sanchem,fecha tradicional,7 de octubre
decreto de arresto,fecha,5 de octubre
asamblea popular,fecha,5 de octubre
asamblea popular,petición sobre,disolución del congreso
decreto de suspensión de procedimiento,fecha,12 de dicho mes
decreto de pensión a familia de don José Gregorio Argomedo,fecha,10 de noviembre
pensión a familia de don José Gregorio Argomedo,monto,seis pesos mensuales
decreto de pensión al padre Oro,fecha,10 de noviembre
don Gaspar Marín,cargo de,vocal de la suprema corte de justicia
don Gaspar Marín,fecha de declaración sobre cargo,15 de octubre
general Zenteno,mantenimiento de,rango militar
asamblea provincial de Concepción,felicitación al gobierno por,disolución del congreso
asamblea provincial de Coquimbo,felicitación al gobierno por,disolución del congreso
Ramón Freire,cargo de,supremo director
consejo consultivo de gobierno,fecha de creación,octubre de 1825
consejo consultivo de gobierno,tipo de voto,informativo
provincia de Concepción,gobernador,intendente respectivo
provincia de Coquimbo,gobernador,intendente respectivo
consejo consultivo,miembro,presidente de la corte suprema don Juan Dios Vial del Rio
consejo consultivo,miembro,rejente de la corte de apelaciones
consejo consultivo,miembro,decano del tribunal mayor de cuentas don Rafael Correa de Saa
consejo consultivo,miembro,comandante jeneral de armas don Francisco Calderon
consejo consultivo,miembro,intendente de provincia de Santiago don Jose Santiago Luco
consejo consultivo,miembro,gobernador del obispado don J Ignacio Cienfuegos
consejo consultivo,miembro,prebendado don Doming0 Antonio Izquierdo
consejo consultivo,miembro,propietario don Fernando Errázuriz
consejo consultivo,miembro,comerciante don Diego Portales
decreto de creación de batallones,fecha,24 de octubre de 1825
decreto de creación de batallones,lugar,Santiago
decreto de creación de batallones,cantidad de batallones,dos
ingeniero francés don Carlos Ambronio Lozier,cargo de,rector interino del instituto nacional
decreto de nombramiento de Lozier,fecha,octubre de 1825
decreto sobre explotación de carbón,fecha,7 de noviembre
decreto sobre explotación de carbón,basado en informe de,don Juan Egaña
decreto sobre explotación de carbón,basado en informe de,don Manuel Salas
José Zenteno,fecha de llegada a Chorrillos,5 de noviembre
general don José de la Riva Agüero,atenciones a,José Zenteno
general don José de la Riva Agüero,cargo anterior,gobernador español de Guayaquil
Ramón Freire,firmante de,decreto de 12 de noviembre sobre ausencia en campaña de Chiloé
Ramón Freire,cargo de,jefe del ejército expedicionario a Chiloé
Sostén Miguel Infante,cargo de,presidente del consejo directorial
consejo directorial,número de ministros,tres actuales ministros
Ramón Freire,delegante de facultades directoriales a,consejo directorial
consejo directorial,asunción del cargo,13 de noviembre
obispo Rodríguez,cargo de,obispo de Santiago
obispo Rodríguez,fecha de separación del gobierno de la diócesis,agosto de 1824
obispo Rodríguez,lugar de residencia,casa episcopal en Santiago
José Ignacio Cienfuegos,cargo de,gobernador del obispado
obispo Rodríguez,autor de,carta apologética contra José Ignacio Cienfuegos
José Ignacio Cienfuegos,destinatario de comunicación del,obispo Rodríguez de 27 de junio de 1825
obispo Rodríguez,autor de,respuesta de nueve grandes pliegos a José Ignacio Cienfuegos
obispo Rodríguez,declaración sobre delegación de facultades a,José Ignacio Cienfuegos en agosto anterior
Mariano Egaña,cargo de,ministro de Chile en Londres
Papa León XII,autor de,encíclica contra la independencia de América
Mariano Egaña,transmisor de,encíclica de León XII a mediados de julio
ministro del interior,autor de oficio de 23 de julio dirigido a,obispo Rodríguez
obispo Rodríguez,autor de contestación de 25 de julio dirigida a,ministro del interior
fray Diego Rodríguez,cargo de,fraile dominicano
fray Diego Rodríguez,relación familiar con,obispo Rodríguez como hermano
fray Diego Rodríguez,cargo de,agente en Madrid del obispo Rodríguez
Mariano Egaña,transmisor de informe con fecha,19 de marzo
José Ignacio Cienfuegos,presentación de renuncia,1 de diciembre
consejo directorial,aceptación de renuncia de Cienfuegos,cuatro días después del 1 de diciembre
Diego Antonio Elizondo,cargo de,canónigo
Diego Antonio Elizondo,cargo designado por consejo directorial,gobernador del obispado
Diego Antonio Elizondo,título académico,doctor en leyes y cánones de la universidad de San Felipe
Diego Antonio Elizondo,cargo en juventud,cura de San Fernando de Colchagua
Diego Antonio Elizondo,cargo en 1811,secretario del primer congreso nacional durante dos meses
Diego Antonio Elizondo,relación familiar con,Sostén Miguel Infante como primo hermano
obispo Rodríguez,autor de comunicación de,20 de diciembre
Manuel José Hurtado,cargo de,ministro plenipotenciario de Colombia en Londres
Manuel José Hurtado,comunicante de informes a,Mariano Egaña
José Santiago Rodríguez,cargo de,obispo
José Santiago Rodríguez,gobernador del,obispado
José Santiago Rodríguez,salario anual de,seis mil pesos
José Santiago Rodríguez,fecha de fallecimiento,5 de abril de 1831
José Santiago Rodríguez,lugar de fallecimiento,Madrid
José Santiago Rodríguez,fecha de llegada a Madrid,27 de diciembre de 1826
Juan de Dios Arlegui,cargo de,presbítero
Juan de Dios Arlegui,secretario de,José Santiago Rodríguez
Juan de Dios Arlegui,relación familiar con,José Santiago Rodríguez
José Santiago Luco,cargo de,coronel
José Santiago Luco,cargo de,gobernador intendente de Santiago
Martín Calvo Encalada,miembro de,partido patriota
Martín Calvo Encalada,miembro de junta de gobierno en,1811
Martín Calvo Encalada,lugar de presidio durante reconquista española,Juan Fernández
Martín Calvo Encalada,relación con José Santiago Rodríguez,amigo particular
David Maffet,cargo de,teniente de marina
David Maffet,comandante de,goleta
goleta,destino de viaje,Acapulco
goleta,nombre de,Moctezuma
goleta,puerto de partida,Valparaíso
goleta,fecha de llegada a Acapulco,de febrero de 1826
decreto de destierro de José Santiago Rodríguez,fecha de emisión,de diciembre
decreto de destierro de José Santiago Rodríguez,firmante,Infante
decreto de destierro de José Santiago Rodríguez,monto de ayuda de costas,seis mil pesos
José Santiago Rodríguez,fecha de salida de Chile,noche del de diciembre
José Santiago Rodríguez,hora de salida de casa episcopal,dos de la mañana
José Santiago Rodríguez,destino inicial de destierro,Valparaíso
José Santiago Rodríguez,fecha de embarque en Valparaíso,27 de diciembre
José Santiago Rodríguez,escolta en viaje,veinte hombres
casa de correos de Santiago,ubicación anterior,palacio de gobierno
Antonio Rocardo,actividad anterior,cabecilla de montoneros
Antonio Rocardo,asociación con bandas de,Benavides
Antonio Rocardo,partidario de,José Santiago Rodríguez
manifestación del 26 de diciembre,hora de inicio,once de la mañana
manifestación del 26 de diciembre,número aproximado de personas,centenar
manifestación del 26 de diciembre,lugar de reunión,plaza principal
manifestación del 26 de diciembre,objetivo,revocación del decreto de destierro de José Santiago Rodríguez
cabildo eclesiástico,fecha de reunión para elección,30 de diciembre
José Ignacio Cienfuegos,cargo electo,vicario capitular
José Ignacio Cienfuegos,tipo de votación en elección,unanimidad de votos
José Ignacio Cienfuegos,fecha de elección,30 de diciembre
Campino,cargo de,ministro
Miguel Ramos Arizpe,cargo de,ministro de relaciones exteriores de México
Miguel Ramos Arizpe,cargo eclesiástico,canónigo de Puebla
José Manuel Izquierdo,cargo de,coronel
José Manuel Izquierdo,lugar de llegada,Acapulco
Lorenzo Vaki,autor de,Ensayo sobre las relaciones de México desde 1826
Ensayo sobre las relaciones de México desde 1826,lugar de publicación,París
Ensayo sobre las relaciones de México desde 1826,año de publicación,1830
obispos de Puebla y de Oaxaca,monto de ayuda a José Santiago Rodríguez,mil quinientos pesos
José Santiago Rodríguez,lugar de residencia en fiebre amarilla de acompañantes,Veracruz
José Santiago Rodríguez,publicación en París,Exposición de los derechos del obispo Rodríguez sobre la diócesis de Santiago con páginas adicionales
Exposición de los derechos del obispo Rodríguez sobre la diócesis de Santiago,fecha de publicación en Santiago,enero de 1826
Exposición de los derechos del obispo Rodríguez sobre la diócesis de Santiago,lugar de publicación original,Santiago
José Santiago Rodríguez,pensión recibida de,Fernando VII
José Santiago Rodríguez,característica de pensión de Fernando VII,modestísima
decreto de continuación de sueldo a José Santiago Rodríguez,fecha de emisión,diciembre de 1825
Mariano Egaña,lugar desde donde envió informes,Londres
Luis Barros Borgoño,autor relacionado con historia de,extrañamiento del obispo Rodríguez
cabildo eclesiástico,fecha de comunicación de resolución de destierro,de diciembre
Fernando VII,rey de,España
Ministro del Interior Joaquín Campino,autor de proyecto de,reglamento provisorio para la administración de las provincias
Proyecto de reglamento provisorio,fecha de presentación,30 de noviembre de 1825
República de Chile según proyecto de 1825,división territorial propuesta en,ocho provincias
Asambleas provinciales según proyecto de 1825,facultades de,legislativas dentro de sus respectivos territorios
Asamblea de Concepción,aprobación de,división del territorio en ocho provincias
Asamblea de Coquimbo,aprobación de,división del territorio en ocho provincias
Presidente Infante,defensor de,elección popular de gobernadores provinciales
Ministro Campino,defensor de,elección popular de gobernadores provinciales
Ministro Gandarillas,oposición a,elección popular de gobernadores provinciales
Ministro de Hacienda José María Novoa,oposición a,elección popular de gobernadores provinciales
Consejo Directorial,decreto de división territorial,31 de enero de 1826
República de Chile,división territorial decretada en,ocho provincias
José Ignacio Cienfuegos,voto a favor de,elección popular de gobernadores provinciales
Juan de Dios Vial del Río,voto a favor de,elección popular de gobernadores provinciales
Rafael Correa,voto a favor de,elección popular de gobernadores provinciales
General Francisco Calderón,voto en contra de,elección popular de gobernadores provinciales
José Santiago Luco,voto en contra de,elección popular de gobernadores provinciales
Fernando Errázuriz,voto en contra de,elección popular de gobernadores provinciales
Diego Portales,voto en contra de,elección popular de gobernadores provinciales
Infante,decreto de renovación de cabildos,6 de marzo de 1826
Supremo Director Freire,decreto de suspensión de elección de cabildos,20 de marzo de 1826
Consejo Directorial,decreto sobre impuesto de plata,enero de 1826
Consejo Directorial,decreto de supresión de tarifa de abasto,día siguiente al decreto sobre impuesto de plata
Consejo Directorial,decreto sobre panadería,libre industria
Consejo Directorial,decreto de profesorado,Instituto Nacional
Consejo Directorial,decreto sobre apertura de calles,31 de enero de 1826
Cónsul del Rey de los Países Bajos,arribo a,Valparaíso en marzo de 1826
Contraalmirante Rosamel,jefe de,estación naval francesa en el Pacífico
Carlos X de Francia,aprobación de gracia para estudiantes,18 de abril de 1825
Contraalmirante Rosamel,comunicación al gobierno chileno,16 de diciembre de 1825
Domingo José Toro,estudiante enviado a,Europa
Bernardo Toro,estudiante enviado a,Europa
Nicasio Toro,estudiante enviado a,Europa
Alonso Toro,estudiante enviado a,Europa
Vicente Pérez Rosales,estudiante enviado a,Europa
Carlos Pérez Rosales,estudiante enviado a,Europa
General Quintanilla,comandante realista en,Chiloé
Pabellón español en 1826,plaza del,Callao
Pabellón español en 1826,archipiélago de,Chiloé
Hermanos Fincheira,capitanes de,bandas de merodeadores y montoneros
Bergantín Aquiles,captura por,fuerzas chilenas
Combate de Pudeto,operación militar en,Chiloé
Combate de Bella Vista,operación militar en,Chiloé
Provincia de Chiloé,incorporación a,República de Chile
Jeneral Jose Ramon Rodil,cargo de jefe de,El Callao
Jeneral Antonio Quintanilla,cargo de gobernador de,Chiloé
Bernardo O'Higgins,cargo de,Supremo Director de Chile
Buque corsario de Chiloé,bajo órdenes de,Antonio Quintanilla
Navio Asia,tipo de nave de,Marina española
Bergantin Aquiles,tipo de nave de,Marina española
Navio Asia,fecha de llegada a San Carlos de Ancud,28 de abril de 1824
Bergantin Aquiles,fecha de llegada a San Carlos de Ancud,28 de abril de 1824
Antonio Quintanilla,título militar de,Brigadier de los ejércitos del rey
Fragata Trinidad,tipo de nave,Transporte español
Goleta Real Felipe,tipo de nave,Transporte español
Fragata Trinidad,fecha de llegada a Chiloé,5 de febrero de 1825
Goleta Real Felipe,fecha de llegada a Chiloé,5 de febrero de 1825
Fragata Trinidad,puerto de salida,Quilca
Goleta Real Felipe,puerto de salida,Quilca
Capitán Fermin Perez,nacionalidad de,Chilote
Capitán Manuel Velasquez,nacionalidad de,Chilote
Saturnino Garcia,cargo de,Comandante de batallón en Chiloé
Tomas Pla,cargo de jefe de,Brigada de artillería en Chiloé
Antonio Gomez Moreno,cargo de,Ministro de real hacienda en Chiloé
Conspiración de Chiloé,fecha de ejecución,7 de febrero de 1825
Coronel Jose Rodriguez Ballesteros,cargo de,Inspector general de las milicias de Chiloé
Comandante Jose Hurtado,cargo de,Segundo jefe del batallón sublevado
Junta de notables de Ancud,fecha de reunión,9 de febrero de 1825
Capitán Juan Manuel Ulloa,lugar de servicio,Cuartel veterano de Chiloé
Capitán Jose Ayala,lugar de servicio,Cuartel veterano de Chiloé
Goleta Real Felipe,misión asignada,Llevar comunicaciones al jeneral Olañeta
Transporte colombiano Elena,destino de navegación,Guayaquil
Ayudante Antonio Mas,cargo de,Emisario de Quintanilla para Olañeta
General Francisco Antonio Pinto,cargo de ministro de,Interior del gobierno de Chile
Francisco Antonio Pinto,fecha de comunicación a Quintanilla,31 de enero de 1825
Corbeta de guerra Chacabuco,comandante de,Capitán de fragata Carlos García del Postigo
Corbeta de guerra Chacabuco,misión asignada,Llevar comunicación a Chiloé
Antonio Quintanilla,cargo de,Gobernador de Chiloé
Antonio Quintanilla,destinatario de nota de,Olañeta
Nota de Quintanilla a Olañeta,fecha de,18 de febrero de 1825
Nota de Quintanilla a Olañeta,publicación en,apéndice n° 18
Batalla de Ayacucho,general vencedor,Sucre
Sucre,destinatario de carta de Canterac,Bolívar
Sucre,autor de carta a Bolívar,20 de diciembre de 1824
Carta de Sucre a Bolívar del 20 de diciembre de 1824,lugar de escritura,campo de Ayacucho
Carta de Sucre a Bolívar del 20 de diciembre de 1824,publicación en,Newsletters de O'Leary tomo I p. 198-9
Navío Asia,destino negado,Chiloé
Antonio Quintanilla,autor de contestación,de marzo
Antonio Quintanilla,remitente de pliego,12 de junio
Pliego de Quintanilla del 12 de junio,destinatario,Comandante del primer buque de guerra de S. M. B.
Pliego de Quintanilla del 12 de junio,fecha de llegada a Valparaíso,3 de julio
Pliego de Quintanilla del 12 de junio,receptor en Valparaíso,Thomas J. Maling
Thomas J. Maling,cargo de,comandante de la estación naval en estos mares
Thomas J. Maling,cargo posterior,almirante de la marina británica
Antonio Quintanilla,autor de nota al gobierno de,Chile
Nota de Quintanilla al gobierno de Chile,publicación en,medio de Rruuco núm. 47
Nota de Quintanilla al gobierno de Chile,reproducción en,apéndice n° 7
Antonio Quintanilla,remitente de comunicación a,Maling
Ejército del Virrex La Serna,lugar de pérdida,Perú
Thomas J. Maling,emisor de credencial para,Tomás Bourchier
Corbeta Eclair de S. M. B.,comandante,capitán Tomás Bourchier
Corbeta Eclair,fecha de zarpe de Valparaíso,9 de julio
Tomás Bourchier,cargo posterior,baronet
Pedro Angulo,cargo de,capitán de buque mercante
Pedro Angulo,lugar de captura,Quilca
Sublevación del bergantín,fecha de,14 de marzo de 1825
José Fermín Pavia,cargo en bergantín,comandante
José Santos La Hera,cargo militar,general
Bergantín Aquiles,fecha de llegada a Valparaíso,23 de junio
Bergantín Aquiles,armamento de,veinte cañones
Capitán Bouchier,fecha de llegada a Chiloé,20 de julio
Antonio Quintanilla,autor de contestación a,Maling
Contestación de Quintanilla a Maling,fecha de,julio de 1825
Contestación de Quintanilla a Maling,lugar de escritura,San Carlos de Chiloé
Junta de oficiales en Chiloé,fecha de,12 de agosto
Junta de oficiales del 12 de agosto,votación a favor de San Carlos de Ancud,nueve votos contra siete
San Carlos de Ancud,tipo de lugar,centro de resistencia en Chiloé
Castro,tipo de lugar,ciudad en Chiloé
Ramón Picarte,cargo de,gobernador de Valdivia
Ramón Picarte,relación personal con,Antonio Quintanilla
Ramón Picarte,lugar de amistad juvenil con Quintanilla,Concepción
Ramón Picarte,autor de comunicación oficial a Quintanilla,29 de septiembre
Ramón Picarte,autor de carta confidencial a Quintanilla,29 de septiembre
Antonio Quintanilla,autor de respuesta a Picarte,17 de octubre
Antonio Quintanilla,compromiso de convocar asamblea en,enero
Zeneral Zenteno,cargo de,gobernador de Valparaíso
Cónsul Nugent,nacionalidad,inglés
El Correo de América,fecha de números extraordinarios,24 de junio
Captura del bergantín Aquiles,publicación de documentos en,El Correo de América
General García Camba,nacionalidad,español
García Camba,autor de relato en,cap. SSX
Historiador Torrente,autor de versión rectificada por,García Camba
Coronel Ballesteros,lugar de mando,Castro
Antonio de Quintanilla,cargo de,Gobernador de Chiloé
Coronel Ballesteros,subordinado de,Antonio de Quintanilla
San Carlos de Ancud,tipo de entidad,Puerto de Chiloé
Balandra procedente de Valparaíso,origen de,Valparaíso
Balandra procedente de Valparaíso,destino de,San Carlos de Ancud
Balandra procedente de Valparaíso,fecha de llegada a San Carlos de Ancud,Octubre de 1825
Expedición chilena para ocupar Chiloé,tamaño de fuerza,Tres mil hombres
Asamblea de notables en Ancud,fecha de reunión prevista,5 de noviembre de 1825
Asamblea de notables en Ancud,participantes de,Jefes militares de Chiloé
Asamblea de notables en Ancud,participantes de,Funcionarios civiles de Chiloé
Asamblea de notables en Ancud,participantes de,Frailes de la provincia de Chiloé
Asamblea de notables en Ancud,participantes de,Curas de la provincia de Chiloé
Goleta Grecian,tipo de embarcación,Goleta inglesa
Goleta Grecian,origen de procedencia,Río de Janeiro
Goleta Grecian,destino de llegada,Puerto de Ancud
Goleta Grecian,fecha de llegada a Ancud,4 de noviembre de 1825
Adriazola,ocupación de,Comerciante chilote
Adriazola,pasajero de,Goleta Grecian
Adriazola,enviado por,Antonio de Quintanilla
Adriazola,destino de misión,Río de Janeiro
Mariano de la Torre y Vera,cargo de,Agente confidencial del gobierno de Madrid
Mariano de la Torre y Vera,ubicación de,Río de Janeiro
Delegados del rey en Río de Janeiro,recursos proporcionados a Adriazola,Fardos de paño y otras mercaderías
Delegados del rey en Río de Janeiro,recursos proporcionados a Adriazola,"40,000 bulas"
Revista militar en Ancud,fecha de realización,Domingo 4 de diciembre de 1825
Revista militar en Ancud,oficial revisor,Antonio de Quintanilla
Batallón veterano de San Carlos,tipo de unidad,Infantería
Batallón veterano de San Carlos,ubicación de,San Carlos de Ancud
Milicianos reglamentados de Castro,tipo de unidad,Infantería
Milicianos reglamentados de Castro,lugar de origen,Castro
Escuadrón dragones de Maullín,tipo de unidad,Caballería
Escuadrón dragones de Maullín,cantidad de efectivos,200 hombres
Escuadrón dragones de Maullín,armamento de,65 fusiles
Escuadrón dragones de Maullín,lugar de origen,Maullín
Milicianos de Quinchao,tipo de unidad,Caballería
Milicianos de Quinchao,cantidad de efectivos,50 hombres
Milicianos de Quinchao,lugar de origen,Quinchao
Compañía veterana de artillería,tipo de unidad,Artillería
Compañía veterana de artillería,cantidad de efectivos,98 hombres
Compañía miliciana de artillería,tipo de unidad,Artillería
Compañía miliciana de artillería,cantidad de efectivos,100 hombres
Ejército realista de Chiloé,comandante de,Antonio de Quintanilla
Ejército realista de Chiloé,cantidad total según Ballesteros,"1,702 hombres"
Ejército realista de Chiloé,cantidad total según documentos independientes,"3,295 hombres"
Ejército reunido en Ancud y sus contornos,cantidad estimada,"2,300 hombres"
Flotilla de lanchas cañoneras de Chiloé,comandante de,Antonio de Quintanilla
Lanchas cañoneras de Chiloé,armamento por unidad,Dos cañones
Marineros y patrones de lanchas cañoneras,cantidad de efectivos,220 hombres
Simón Bolívar,cargo de,Poder dictatorial en el Perú
José Sánchez Carrión,cargo de,Ministro de relaciones exteriores del Perú bajo Bolívar
José Sánchez Carrión,superior de,Simón Bolívar
Nota oficial sobre expedición a Chiloé,autor de,José Sánchez Carrión
Nota oficial sobre expedición a Chiloé,fecha de emisión,3 de julio de 1825
Juan de Dios Vial,cargo de,Ministro de relaciones exteriores de Chile
Oficio de respuesta del gobierno de Chile al Perú,autor de,Juan de Dios Vial
Oficio de respuesta del gobierno de Chile al Perú,fecha de emisión,31 de agosto de 1825
Vicealmirante Blanco,actividad de,Bloqueo del Callao
Naves chilenas al mando de Blanco,actividad de,Bloqueo del Callao
Gobierno de Chile,monto solicitado al Perú,Trescientos mil pesos
Préstamo de Chile al Perú en 1823,monto total,Millón y medio de pesos
General Zenteno,cargo de,Gobernador de Valparaíso
Oficio de Zenteno sobre planes de Bolívar,autor de,General Zenteno
Oficio de Zenteno sobre planes de Bolívar,destinatario de,Ministro de relaciones exteriores de Chile
Oficio de Zenteno sobre planes de Bolívar,fecha de emisión,12 de julio de 1825
Felipe Santiago Estenos,cargo de,Secretario de Simón Bolívar
Hipólito Unanue,cargo de,Ministro de relaciones exteriores del Perú
Comunicación del consejo de gobierno del Perú a Chile,autor de,Hipólito Unanue
Comunicación del consejo de gobierno del Perú a Chile,fecha de emisión,2 de octubre de 1825
Despacho de Bolívar desde La Paz,autor de,Simón Bolívar
Despacho de Bolívar desde La Paz,lugar de emisión,La Paz
Despacho de Bolívar desde La Paz,fecha de emisión,1 de septiembre de 1825
Despacho de Bolívar desde La Paz,destinatario de,Consejo gubernativo de Lima
Comandante Maling,actividad relacionada con,Tentativa de sometimiento pacífico de Chiloé
Hipólito Unanue,autor de oficio dirigido a,gobierno de Chile
oficio de Hipólito Unanue,fecha de,2 de octubre de 1825
general Zenteno,destino de destierro,Chile
ex-ministro Zañartu,destino de destierro,Chile
fragata Britoz,nacionalidad,inglesa
