Sujeto,Relación,Objeto
M. N. Joly,autor de,L'homme avant les métaux Paris 1879
Laplace,autor de,Exposition systématique du monde publicada en 1796
Lucien Adam,ocupación,lingüista
Lucien Adam,participante de,Congreso de Americanistas celebrado en Nancy el 19 de julio de 1875
Congreso de Americanistas,fecha de sesión,19 de julio de 1875
Congreso de Americanistas,lugar de sesión,Nancy
Baldwin,autor de,Ancient America in notes on American Archeology New York 1878
George Squier,autor de,Incidents of travel and exploration in the land of the Incas New York 1877
John D. Baldwin,autor de libro publicado en,Londres en 1872 y reimpreso en Nueva York en 1878
Prescott,autor de pasaje citado en,libro I capítulo III página 28
H. H. Bancroft,autor de,Native races of the Pacific states of North America New York 1875-76
Sir Charles Lyell,autor de,L'ancienneté de l'homme prouvée par la géologie traducción Chaper Paris 1864
Doctor Winslow,remitente a,Sociedad de Historia Natural de Boston en 1857
Cráneo encontrado en California,profundidad de hallazgo,60 metros
Cráneo encontrado en California,año de envío a Sociedad de Historia Natural de Boston,1857
Restos humanos en formación pampeana de Mercedes,profundidad de hallazgo,cerca de tres metros
Mercedes,ubicación relativa,pocas leguas al occidente de Buenos Aires
Profesor Agassiz,autor de cálculos sobre,huesos humanos en conglomerado calcáreo de Florida
Huesos humanos en conglomerado calcáreo de Florida,antigüedad estimada por Agassiz,diez mil años
Esqueleto humano en Nueva Orleans,antigüedad estimada por Mr. Bennet Dowler,57.600 años
Ruinas de Copán,ubicación,América Central
Ruinas de Palenque,ubicación,América Central
Ruinas de Tiahuanaco,estado a época de conquista europea,desiertos y arruinados
Mounds,ubicación,Estados Unidos
Mounds,tipo de construcción,piramidales
Ruinas del lago de Titicaca,perteneciente a,civilización más antigua del Perú
Ruinas de Huanuco viejo,perteneciente a,civilización más antigua del Perú
Ruinas de Tiahuanaco,perteneciente a,civilización más antigua del Perú
Ruinas de Gran Chimu,perteneciente a,civilización más antigua del Perú
Caminos del Perú,perteneciente probable a,civilización más antigua del Perú
Acueductos del Perú,perteneciente probable a,civilización más antigua del Perú
Baldwin,autor de,obra citada sobre arquitectura peruana
Don Bartolomé Mitre,autor de,"ruinas de Tiahuanaco, recuerdos de viaje"
"ruinas de Tiahuanaco, recuerdos de viaje",lugar de publicación,Buenos Aires
"ruinas de Tiahuanaco, recuerdos de viaje",año de publicación,1879
Moctezuma,interlocutor de,Hernán Cortés
Imperio Romano,comparable con,civilización antigua de América
Roma,comparable con,civilización antigua de América
Nínive,comparable con,civilización antigua de América
Egipto,comparable con,civilización antigua de América
India,comparable con,civilización antigua de América
Richard F. Burton,nacionalidad,inglés
Richard F. Burton,ocupación,capitán
Richard F. Burton,autor de,Explorations of the highlands of Brazil
Explorations of the highlands of Brazil,lugar de publicación,Londres
Explorations of the highlands of Brazil,año de publicación,1868
Indios salvajes del Brasil,perteneciente a,raza anteriormente civilizada según Burton
Valle del Misisipi,lugar de,civilización destruida por invasiones
John Ranking,nacionalidad,inglés
John Ranking,tiempo de residencia en India oriental,veinte años
John Ranking,autor de,"Historical researches on the conquest of Peru, Mexico, Bogota, Natchez in the XIII century, by the Mongols"
"Historical researches on the conquest of Peru, Mexico, Bogota, Natchez in the XIII century, by the Mongols",lugar de publicación,Londres
"Historical researches on the conquest of Peru, Mexico, Bogota, Natchez in the XIII century, by the Mongols",año de publicación,1827
"Historical researches on the conquest of Peru, Mexico, Bogota, Natchez in the XIII century, by the Mongols",año de suplemento,1832
Egipcios,conocimiento de América,desconocida
Chinos,conocimiento de América,desconocida
Fenicios,conocimiento de América,desconocida
Griegos,conocimiento de América,desconocida
Romanos,conocimiento de América,desconocida
Colón,rol en,descubrimiento de América
Nardaillac,autor de,obra citada
Platón,autor de,dos diálogos sobre Atlántida
Plutarco,autor de,pasaje sobre Atlántida
Isla Atlántida,ubicación respecto a,estrecho de Gibraltar
Isla Atlántida,tamaño comparado con,Asia y África reunidas
López de Gómara,año de publicación,1552
López de Gómara,lugar de publicación,Zaragoza
Agustín de Zárate,autor de,Historia del descubrimiento y conquista del Perú
Historia del descubrimiento y conquista del Perú,lugar de publicación,Amberes
Historia del descubrimiento y conquista del Perú,año de publicación,1555
Padre de Acosta,autor de,Historia moral de Indias
Historia moral de Indias,año de publicación,1590
M. Paul Gaffarel,autor de,Etude de l'Amérique et de l'ancien continent avant C. Colomb
Etude de l'Amérique et de l'ancien continent avant C. Colomb,lugar de publicación,Paris
Etude de l'Amérique et de l'ancien continent avant C. Colomb,año de publicación,1869
Abate Brasseur de Bourbourg,ocupación,autor de historias y sistemas etnográficos
M. Roisel,autor de,Etudes antikhistoriques. Les Atlantes
Etudes antikhistoriques. Les Atlantes,lugar de publicación,Paris
Etudes antikhistoriques. Les Atlantes,año de publicación,1874
Ofir,descendiente de,Sem
Ofir,parentesco con Sem,bisnieto
Arias Montano,nacionalidad,español
Arias Montano,siglo de actividad,siglo XVI
Genebrard,nacionalidad,francés
Genebrard,ocupación,sabio
Genebrard,siglo de actividad,siglo XVI
Salmanazar,cargo,rey de Asiria
Gilberto Genebrard,ocupación,comentador de la Biblia
Pedro F. Simbón,autor de,Noticias historiales de Tierra Firme
Noticias historiales de Tierra Firme,lugar de publicación,Cuenca
Noticias historiales de Tierra Firme,año de publicación,1626
Padre Simón de Vasconcellos,autor de,Crónica da Companhia de Jesus do Brazil
Crónica da Companhia de Jesus do Brazil,año de publicación,1663
Crónica da Companhia de Jesus do Brazil,lugar de publicación,Lisboa
Doctor don Diego Andrés Rocha,autor de,Tratado único y singular del origen de los indios occidentales del Perú
Tratado único y singular del origen de los indios occidentales del Perú,año de publicación,1680
Tratado único y singular del origen de los indios occidentales del Perú,lugar de publicación,Lima
Lord Kinsborough,autor de,obra sobre historia antigua de México
Gonzalo Fernández de Oviedo,ocupación,cronista
Gonzalo Fernández de Oviedo,autor de,Historia general y natural de las Indias
Hespero,cargo,duodécimo monarca de España
Hugo van Groot (Grotius),nacionalidad,holandés
Hugo van Groot (Grotius),ocupación,publicista y erudito
De origine gentium americanorum dissertatio,autor,Hugo van Groot (Grotius)
De origine gentium americanorum dissertatio,lugar de publicación,Amsterdam
De origine gentium americanorum dissertatio,año de publicación,1642
Juan de Laet,ocupación,geógrafo
Juan de Laet,refutador de la teoría de,Hugo van Groot (Grotius)
Georg Horn (Hornius),nacionalidad,alemán
Georg Horn (Hornius),ocupación,historiador
De originibus americanis libri IV,autor,Georg Horn (Hornius)
De originibus americanis libri IV,lugar de publicación,La Haya
De originibus americanis libri IV,año de publicación,1652
De originibus americanis libri IV,número de páginas,282
Gregorio García,ocupación,padre dominicano
Origen de los indios del Nuevo Mundo,autor,Gregorio García
Origen de los indios del Nuevo Mundo,lugar de primera publicación,Valencia
Origen de los indios del Nuevo Mundo,año de primera publicación,1607
Origen de los indios del Nuevo Mundo,lugar de reimpresión,Madrid
Origen de los indios del Nuevo Mundo,año de reimpresión,1729
Andrés González de Barcia,contribución a,Origen de los indios del Nuevo Mundo (edición 1729)
John D. Baldwin,autor de,Ancient America
Ancient America,contenido relevante,capítulo VII sobre refutación de hipótesis del origen de población americana
John Lubbock,autor de,Les origines de la civilisation
Les origines de la civilisation,traductor,Barbier
Les origines de la civilisation,lugar de publicación,Paris
Les origines de la civilisation,año de publicación,1873
Edward B. Tylor,autor de,Primitive culture
Primitive culture,lugar de publicación,Londres
Primitive culture,año de publicación,1873
Girard de Rialle,autor de,mythologie comparée
mythologie comparée,lugar de publicación,Paris
mythologie comparée,año de publicación,1878
Hermann E. Ludewig,autor de,The literature of american aboriginal languages
The literature of american aboriginal languages,lugar de publicación,London
The literature of american aboriginal languages,año de publicación,1858
Fr. Muller,ocupación,lingüista
Fr. Muller,autor de,Allgemeine ethnographie
Allgemeine ethnographie,lugar de publicación,Viena
Allgemeine ethnographie,año de publicación,1873
Fr. Muller,número identificado de razas lingüísticas en América,veintiséis
E.G. Squier,ocupación,arqueólogo estadounidense
William D. Whitney,ocupación,lingüista estadounidense
William D. Whitney,autor de,La vie du langage
La vie du langage,lugar de publicación,Paris
La vie du langage,año de publicación,1875
E. Renan,autor de,De l'origine du langage
De l'origine du langage,lugar de publicación,Paris
De l'origine du langage,año de publicación,1859
Ch. Letourneau,ocupación,Dr.
Ch. Letourneau,autor del artículo,L'origine de l'homme
América,número aproximado de lenguas contadas por europeos,más de cuatrocientas
América,número de dialectos americanos según E.G. Squier,400
Isaac La Peyrère,autor de,Praeadamitae
Praeadamitae,año de publicación,1656
Praeadamitae,idioma de,latín
Samuel G. Morton,lugar de trabajo,Filadelfia
Samuel G. Morton,ocupación,antropologista
Samuel G. Morton,autor de,Crania americana
Crania americana,año de publicación,1839
Crania americana,lugar de publicación,Filadelfia
Samuel G. Morton,autor de,An inquiry into the distinctive character of the original race of America
An inquiry into the distinctive character of the original race of America,lugar de publicación,Filadelfia
Samuel G. Morton,autor de,Some observations on the ethnography and archaeology of the american aborigines
Some observations on the ethnography and archaeology of the american aborigines,año de publicación,1846
Some observations on the ethnography and archaeology of the american aborigines,lugar de publicación,New Haven
Louis Agassiz,ocupación,naturalista
Louis Agassiz,autor de,Sketch of the natural provinces of the world
Sketch of the natural provinces of the world,obra contenedora,Types of mankind
Types of mankind,año de publicación,1854
Types of mankind,lugar de publicación,Filadelfia
Types of mankind,autor de,Nott y Gliddon
Quatrefages,ocupación,profesor francés
Quatrefages,autor de,Unité de l'espèce humaine
Unité de l'espèce humaine,año de publicación,1861
Unité de l'espèce humaine,lugar de publicación,Paris
Ernst Haeckel,ocupación,profesor alemán
Ernst Haeckel,autor de,Histoire de la création des êtres organisés d'après les lois naturelles
Histoire de la création des êtres organisés d'après les lois naturelles,año de publicación,1874
Histoire de la création des êtres organisés d'après les lois naturelles,lugar de publicación,Paris
Histoire de la création des êtres organisés d'après les lois naturelles,traductor,Letourneau
Alfred Russell Wallace,autor de artículo en,Anthropological Review
artículo de Alfred Russell Wallace sobre el origen de las razas humanas,fecha de publicación,mayo de 1864
Virchow,ocupación,antropologista alemán
Bancroft,autor de,Native races
Ch. Letourneau,autor de artículo,Civilisation en Dictionnaire encyclopédique des sciences médicales
artículo Civilisation de Ch. Letourneau,año de publicación,1875
artículo Civilisation de Ch. Letourneau,lugar de publicación,Paris
Herbert Spencer,autor de,Principes de sociologie
Principes de sociologie,traductor,E. Cazelles
Principes de sociologie,lugar de publicación,Paris
Principes de sociologie,año de publicación,1880
República de Chile,territorio mencionado en relación a,ocupación hasta conquista incásica del siglo XV
History of the civilisation in England de H.J. Buckle,autor de capítulo sobre,las influencias ejercidas por las leyes físicas sobre la organización de la sociedad
barón de Humboldt,señalador de,la fácil y prodigiosa producción de artículos alimenticios en la altiplanicie mexicana
altiplanicie mexicana,característica de ser,uno de los primeros centros civilizados en este continente
maíz mexicano (tlaolli),rendimiento agrícola de,300 a 400 por una fanega
llanuras entre San Juan del Rio y Querétaro,rendimiento de maíz de,ochocientas por fanega
territorio chileno,extensión de,más de quinientas leguas
territorio chileno,límite norte en,regiones tropicales
territorio chileno,límite sur con temperatura de,países cercanos a la zona circumpolar
cordillera de los Andes,ubicación en territorio chileno,al oriente
cordillera de los Andes,característica de,montañas ásperas con numerosos conos volcánicos
cadena de montañas occidental,ubicación en territorio chileno,al occidente
cadena de montañas occidental,característica de,cerros bajos redondos graníticos
valle longitudinal chileno,ubicación de,entre la cordillera de los Andes y la cadena occidental
valle longitudinal en el norte de Chile,característica de estar,interrumpido por contrafuertes de los Andes
valle longitudinal en el centro de Chile,característica de,dilatarse casi sin obstáculos
valle longitudinal en el sur de Chile,característica de estar,convertido en canal intermediario entre archipiélagos
cordillera de los Andes en Chile,función de,barrera a los movimientos de la atmósfera de las regiones orientales
región norte de Chile,característica climática de,casi sin lluvia
región norte de Chile,característica geográfica de,desiertos áridos estériles para todo cultivo
lluvias en Chile central,origen de,vientos del noroeste (contracorriente de los vientos alisios)
lluvias en gran porción de Chile,estación de ocurrencia,invierno (tres o cuatro meses del año)
región austral de Chile,característica de lluvias,más constantes por menor temperatura
región del norte de Chile,característica hidrográfica de,ríos arroyos y vertientes casi desconocidos
región del sur de Chile,característica de vegetación,selvas de riqueza tropical con verdura permanente
archipiélagos australes de Chile,característica climática de,nieve en todas las estaciones del año
territorio chileno,condición para salvaje primitivo de ser,triste morada
región norte de Chile primitiva,característica de población,pequeñas tribus aisladas a orillas de riachos
región centro de Chile primitiva,característica de población,agrupaciones más considerables cerca de ríos y vertientes
región sur de Chile primitiva,característica de población,población agrupada en mayor número
fruto del pehuén (piñón),nombre científico,araucaria imbricata de Ruiz y Pavón
región insular de Chile primitiva,estado de habitantes,barbarie primitiva
guerreros de los incas del Perú,introducción a Chile de,maíz trigo y árboles frutales
conquistadores europeos,introducción a Chile de,maíz trigo y árboles frutales
Alonso González de Nájera,cargo de,maestre de campo
Alonso González de Nájera,autor de,Desengaño de la guerra de Chile
Desengaño de la guerra de Chile,año de escritura,1614
P. Nicolás del Techo,autor de,Historia provincial Societatis Jesu
P. Nicolás del Techo,nombre original,Du Toict (jesuita francés)
P. Nicolás del Techo,año de llegada a América,1649
Historia provincial Societatis Jesu,año de publicación,1673
Historia provincial Societatis Jesu,lugar de publicación,Leyde
abate don Juan Ignacio Molina,emisor de hipótesis sobre,población indígena de Chile basada en lengua chilena
Alcides D'Orbigny,ocupación de,naturalista
Alcides D'Orbigny,clasificación de antiguos habitantes de Chile en,una sola rama de raza de las altiplanicies del Perú
algunos estudiosos,creencia sobre indios chilenos,provienen de la raza guaraní del oriente
temperaturas medias en Tierra del Fuego 1882-1883,observador,comisión científica francesa
Tierra del Fuego,temperatura media de verano,7°.2
Tierra del Fuego,temperatura media de invierno,3°.6
indios changos del litoral de los desiertos del norte de Chile,idioma hablado,lengua peruana de los Andes con ligeras alteraciones
indios changos del litoral de los desiertos del norte de Chile,origen étnico,raza peruana de los Andes
indios changos del litoral de los desiertos del norte de Chile,actividad de subsistencia,pesca
territorio chileno entre los grados 25 y 44 de latitud sur,idioma predominante a la época de la conquista española,una sola lengua con pequeñas modificaciones locales
indios del territorio chileno entre los grados 25 y 44 de latitud sur,característica étnica,unidad de raza visible en caracteres fisonómicos
antiguo Imperio Mexicano,cantidad de familias de lenguas identificadas,diecinueve familias de lenguas
antiguo Imperio Mexicano,cantidad de dialectos identificados,unos cien dialectos diferentes
Manuel de Orozco y Berra,autor de,"Compendio de las lenguas de México (México, 1865)"
Francisco Pimentel,autor de,"Cuadro descriptivo y comparativo de las lenguas indígenas de México (segunda edición, México, 1874-75, tres volúmenes en 8°)"
lengua chilena,territorio de uso hasta,últimos términos del archipiélago de Chiloé
Alonso de Ovalle,autor de,"Histórica relación del reino de Chile (Roma, 1646)"
indios de las islas Chonos,caracterización por Alonso de Ovalle,gente más inculta de cuantas hay en estas partes
John Byron,participante en,escuadra de Lord Anson como náufrago en 1741
John Byron,autor de,"The narrative of J. Byron containing an account of the distresses suffered on the coast of Patagonia (Londres, 1768)"
padre jesuita José García Marti,ocupación,misionero del siglo pasado en las islas situadas al sur de Chiloé
padre jesuita José García Marti,informante de,abate Hervas en 1783
Hervas,autor de,"Catálogo (Madrid, 1800, tomo I)"
D'Orbigny,autor de,L'homme américain
capitán Fitz-Roy,autor de,"Narrative of the surveying voyages of Adventure and Beagle (Londres, 1839)"
misioneros anglicanos de las islas Malvinas,traductores de,evangelio de San Lucas al idioma de los fueguinos
evangelio de San Lucas en idioma fueguino,lugar de publicación,Londres
evangelio de San Lucas en idioma fueguino,año de publicación,1881
Julius Platzmann,autor de,"Glossar der Sprache (Glosario de la lengua de los fueguinos, Leipzig, 1882)"
fueguinos,denominaciones alternativas recibidas,"pecherais, yacanacuni, yaganes, fueguinos, ictiófagos"
fueguinos,residencia principal,isla grande de Tierra del Fuego
Oliver van Noort,clasificación realizada sobre fueguinos,cuatro ramas o familias
Oliver van Noort,año de visita a fueguinos,1598 y 1599
Oliver van Noort,autor de,"Description du penible voyage fait à l'entour du globe terrestre (Amsterdam, 1602)"
comandante francés Beauchesne-Gouin,clasificación realizada sobre fueguinos,dos familias: laguediches y aveguediches
comandante francés Beauchesne-Gouin,año de clasificación de fueguinos,un siglo después de Oliver van Noort (aproximadamente 1698)
teniente de Villefort,autor de relación sobre,viaje de Beauchesne-Gouin
De Brosses,publicador de extracto de,"relación del viaje de Beauchesne-Gouin (tomo II, París, 1756)"
Fitz-Roy,clasificación realizada sobre fueguinos,"seis ramas o familias, aparte de los tehuelches o patagones"
M. W. Parker Snow,cargo de,capitán del Allen Gardiner
Allen Gardiner,tipo de embarcación,yate de los misioneros ingleses
misioneros ingleses del Allen Gardiner,punto de partida,islas Malvinas o Falkland
M. W. Parker Snow,clasificación realizada sobre fueguinos,"siete tribus: oensmen, yapoos, tekeenicas, alikoolips, chonos"
tribu oensmen,ubicación,grandes islas
tribu yapoos,ubicación,sureste
tribu tekeenicas,ubicación,sur
tribu alikoolips,ubicación,poniente y sur
tribu chonos,ubicación mencionada sin completar en fragmento,información incompleta en el fragmento
Parker Snow,autor de,"A years cruise Tierra del Fuego, the Falkland islands, Patagonia and in the river Plate"
"A years cruise Tierra del Fuego, the Falkland islands, Patagonia and in the river Plate",lugar de publicación,London
"A years cruise Tierra del Fuego, the Falkland islands, Patagonia and in the river Plate",año de publicación,1857
Bougainville,autor de,Voyage autour du monde par la Boudeuse et l'Eroile
Voyage autour du monde par la Boudeuse et l'Eroile,lugar de publicación,Paris
Voyage autour du monde par la Boudeuse et l'Eroile,año de publicación,1771
Jose Vargas Ponce,autor de,Relación del último viaje al estrecho Magallanes
Relación del último viaje al estrecho Magallanes,lugar de publicación,Madrid
Relación del último viaje al estrecho Magallanes,año de publicación,1788
Thomas Falkner,autor de,A description of Patagonia and the adjoining parts of South America
A description of Patagonia and the adjoining parts of South America,lugar de publicación,Londres
A description of Patagonia and the adjoining parts of South America,año de publicación,1774
James Weddell,autor de,"A voyage towards the south pole, performed in the years 1822-1824"
"A voyage towards the south pole, performed in the years 1822-1824",lugar de publicación,Londres
"A voyage towards the south pole, performed in the years 1822-1824",año de publicación,1825
Prichard,autor de,History of the mankind
capitán Wallis,ocupación,capitán
Fitz-Roy,ocupación,capitán
Darwin,ocupación,naturalista
Voyage de la flotte de Nassau,parte de,Recueil des voyages de la compagnie des Indes
Recueil des voyages de la compagnie des Indes,lugar de publicación,Rouen
Recueil des voyages de la compagnie des Indes,año de publicación,1725
J. Hawkesworth,autor de,"Relation des voyages de Byron, Curteret, Wallis et Cook"
Suard,traductor de,"Relation des voyages de Byron, Curteret, Wallis et Cook"
capitán Cook,autor de,Voyage dans l'hemisphere austral et autour du monde
Forster,ocupación,naturalista
Forster,acompañante de,capitán Cook
Voyage dans l'hemisphere austral et autour du monde,lugar de publicación,Paris
Voyage dans l'hemisphere austral et autour du monde,año de publicación,1778
fragata Santa Maria de la Cabeza,tipo de embarcación,fragata
José Vargas Ponce,ocupación,literato erudito español
Ch. Darwin,autor de,Journal of researches into the natural history of the countries visited
Journal of researches into the natural history of the countries visited,lugar de publicación,Londres
Journal of researches into the natural history of the countries visited,año de publicación,1860
Robert O. Cunningham,ocupación,naturalista
fueguinos,características físicas,cabeza grande
fueguinos,características físicas,cara redonda
fueguinos,características físicas,nariz corta
fueguinos,características físicas,ojos pequeños
fueguinos,características físicas,ojos de color negro
fueguinos,características físicas,boca grande
fueguinos,características físicas,labios gruesos
fueguinos,características físicas,dientes blancos
fueguinos,características físicas,orejas pequeñas
fueguinos,características físicas,color de caoba vieja
fueguinos,características físicas,cabellera negra
fueguinos,características físicas,baja estatura
fueguinos,vestimenta,pedazo de cuero de guanaco
fueguinos,vestimenta,piel de lobo marino
fueguinos,vestimenta,piel de pingüino
fueguinos hombres,objeto portado,honda
fueguinos,tipo de vivienda,cabañas en forma de cono
fueguinos,costumbre,nómades
fueguinos,alimento,moluscos
fueguinos,alimento,erizos
fueguinos,alimento,pececillos
fueguinos,alimento,lobo marino
fueguinos,alimento,ballena
fueguinos,alimento,semillas
fueguinos,alimento,hongos
fueguinos,habilidad,nadadores
fueguinos,habilidad,construcción de canoas
fueguinos,material para fuego,pirita de fierro
fueguinas,rol en navegación,remeras
fueguinas,rol en cabaña,mantención del fuego
Alonso d'Ovalle,ocupación,padre
Alonso d'Ovalle,autor de,Histórica relación
canoas fueguinas,material de construcción,tablas de madera
canoas fueguinas,material de unión,tallos de enredaderas
canoas fueguinas,material de unión,nervios de animales
canoas fueguinas,contenido,fogón de tierra
estrecho de Magallanes,tipo de accidente geográfico,estrecho
Capitán Wallis,observador de hábitos alimenticios de,salvajes fueguinos
Bernardo Janszon,cargo de trabajo,cirujano de la expedición de Simón de Cordes
Bernardo Janszon,relator de historia de,mujer fueguina
José Gumilla,autor de,El Orinoco ilustrado
El Orinoco ilustrado,lugar de publicación,Madrid
El Orinoco ilustrado,año de publicación,1741
Presidente de Brosses,autor de resumen en,Histoire des navigations
Fueguinos,tipo de armas,mazas de madera
Fueguinos,tipo de armas,flechas de madera dura con puntas de hueso
Fueguinos,tipo de armas,jabalinas de madera dura
Fueguinos,tipo de armas,cuchillos de piedra
Fitz-Roy,observador de prácticas de,fueguinos
John Lubbock,autor de,L'homme avant
L'homme avant,traductor,Barbier
L'homme avant,lugar de publicación,Paris
L'homme avant,año de publicación,1868
Rev. John Wood,autor de,The uncivilized races of men in all countries of the world
The uncivilized races of men in all countries of the world,lugar de publicación,Londres
The uncivilized races of men in all countries of the world,año de publicación,1874
The uncivilized races of men in all countries of the world,lugar de reimpresión,"Hartford, Estados Unidos"
The uncivilized races of men in all countries of the world,año de reimpresión,1877
Saint Simon,autor de frase sobre,edad de oro del género humano
Rousseau,autor de escrito sobre,ideas de edad de oro
Herder,autor de obra,Ideen zur Geschichte der Menscheit
Ideen zur Geschichte der Menscheit,año de publicación,1784
Tupac Yupanqui,conquistador de,parte norte del territorio chileno
Huaina Capac,consolidador de conquista en,territorio chileno
Río Maule,límite sur de,conquista inca en Chile
Indios chilenos,característica física,cabeza grande
Indios chilenos,característica física,cara redonda
Indios chilenos,característica física,boca ancha
Indios chilenos,característica física,nariz corta algo aplastada
Indios chilenos,característica física,ojos negros pequeños horizontales
Indios chilenos,característica física,cabello negro fuerte lacio
Indios chilenos,estatura media,1.60 metros
González de Nájera,autor de,Desengaño i reparo de la guerra de Chile
Padre jesuita Luis de Valdivia,autor de,primera gramática chilena
Padre jesuita Luis de Valdivia,autor de,Arte i gramática jeneral de la lengua que corre en todo el reino de Chile
Arte i gramática jeneral de la lengua que corre en todo el reino de Chile,lugar de publicación,Lima
Arte i gramática jeneral de la lengua que corre en todo el reino de Chile,año de publicación,1606
Padre jesuita Gabriel de Vega,nacionalidad,español de la provincia de Toledo
Padre jesuita Gabriel de Vega,lugar de muerte,Santiago
Padre jesuita Gabriel de Vega,año de muerte,1605
Padre jesuita Gabriel de Vega,edad de muerte,38 años
Padre jesuita Gabriel de Vega,autor de,gramática manuscrita de lengua chilena
Idioma chileno,extensión territorial norte-sur,desde ciudad de Coquimbo hasta islas de Chiloé
Idioma chileno,extensión territorial,cuatrocientas leguas de norte a sur
Idioma chileno,extensión territorial este-oeste,desde pie de la cordillera grande nevada hasta la mar
G. Delaunay,autor de artículo,L'égalité et l'inégalité des individu
L'égalité et l'inégalité des individu,publicación en,Revue scientifique
L'égalité et l'inégalité des individu,fecha de publicación,20 de mayo de 1882
Familia lingüística chilena,ocupante del territorio,territorio chileno
Huilliches,ubicación geográfica,sur de Chile
Picunches,ubicación geográfica,norte de Chile
Habitantes de una parte de Chile,denominación dada por españoles,araucanos
Palabra araucano,origen lingüístico,lengua quechua peruana
Palabra araucano,significado en quechua,enemigos
Lengua chilena,característica gramatical,abundante en vocales
Lengua chilena,tipo de sistema lingüístico,lengua aglutinante
